code,name,Single (never married or never registered a same-sex civil partnership),Married,In a registered same-sex civil partnership,Separated (but still legally married or still legally in a same-sex civil partnership),Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Widowed or surviving partner from a same-sex civil partnership
E36006804,Bablake,28.7,51.1,0.1,2.4,8.4,9.3
E36006805,Binley and Willenhall,36.8,41.3,0.2,3.1,10.7,8
E36006806,Cheylesmore,34.7,44.8,0.2,2.4,9.1,8.8
E36006807,Earlsdon,32.8,50.7,0.2,1.7,7,7.6
E36006808,Foleshill,38.3,44.4,0.1,4.3,7.5,5.4
E36006809,Henley,34.4,43.3,0.1,3.5,10.6,8.1
E36006810,Holbrook,35.7,45.5,0.1,2.8,8.8,7.2
E36006811,Longford,38.3,40.5,0.1,3.4,10.5,7.3
E36006812,Lower Stoke,40.6,41.4,0.2,2.9,8.3,6.6
E36006813,Radford,43.5,37.2,0.2,3,9.1,7
E36006814,Sherbourne,40.7,41,0.1,2.8,9.5,6
E36006815,St Michael's,67.2,21.7,0.2,2.3,5.3,3.2
E36006816,Upper Stoke,41,40.7,0.2,3.2,8.6,6.4
E36006817,Wainbody,43,45.2,0.1,1.2,4.4,6.1
E36006818,Westwood,42,39.4,0.2,2.4,9,7
E36006819,Whoberley,45.7,37,0.2,2.1,8.5,6.5
E36006820,Woodlands,31.7,49,0.1,2.2,9.7,7.4
E36006821,Wyken,32,49.6,0.1,2.5,9,6.7
