code,name,English only identity,English and British only identity,Other English combined background identity,No English identity,Welsh only identity,Welsh and British only identity,Other Welsh combined background identity,No Welsh identity,Scottish only identity,Scottish and British only identity,Other Scottish combined background identity,No Scottish identity,Northern Irish only identity,Northern Irish and British only identity,Other Northern Irish combined background identity,No Northern Irish identity,British only identity,British and any other identity,No British identity,Cornish only identity,Cornish and British only identity,Cornish and at least one of English/Welsh/Scottish/Northern Irish identities (with or without British),No Cornish identity,Irish only identity,Irish and British only identity,Irish and Northern Irish only identity,"Irish, Northern Irish and British only identity",Irish and at least one of English/Welsh/Scottish identities (with or without British),"Irish, Northern Irish and at least one of English/Welsh/Scottish identities (with or without British)",No Irish identity,Other identities only,Other identities and at least one of English/Welsh/Scottish/Northern Irish/British only,At least one of English/Welsh/Scottish/Northern Irish/British identities only
E36006804,Bablake,66.4,8,0.5,25.2,0.8,0.1,0.2,98.9,0.9,0.1,0.1,98.9,0.5,0,0,99.5,17,8.6,74.4,0,0,0,100,1.9,0.1,0,0,0.1,0,97.9,5.5,0.5,94
E36006805,Binley and Willenhall,62.8,7.3,0.5,29.4,0.7,0.1,0.1,99.1,1.6,0.2,0.1,98,0.4,0,0,99.6,15.6,8.1,76.3,0,0,0,100,1.4,0,0,0,0,0,98.6,10.4,0.7,88.9
E36006806,Cheylesmore,56.6,8,0.5,35,0.8,0.1,0.1,99.1,1.4,0.1,0.1,98.4,0.3,0,0,99.6,20.8,9,70.2,0,0,0,100,1.3,0.1,0,0,0.1,0,98.5,10.9,0.9,88.3
E36006807,Earlsdon,53.1,9.6,0.8,36.6,0.8,0.2,0.2,98.8,1,0.2,0.1,98.6,0.3,0,0,99.6,24.7,10.9,64.5,0,0,0,100,1.3,0,0,0,0.1,0,98.6,8.9,1,90.2
E36006808,Foleshill,28.2,4.2,0.7,66.9,0.1,0,0,99.8,0.6,0,0,99.4,0.2,0,0,99.8,39.5,5.6,54.9,0,0,0,100,0.7,0,0,0,0.1,0,99.2,25.3,1.7,73
E36006809,Henley,59.9,6.8,0.5,32.8,0.6,0.1,0.1,99.3,1.6,0.2,0.1,98.1,0.5,0.1,0.1,99.4,17.7,7.7,74.6,0,0,0,100,1.6,0,0,0,0.1,0,98.3,11.7,0.8,87.5
E36006810,Holbrook,56,6.2,0.4,37.5,0.7,0,0.1,99.2,1,0.1,0.1,98.8,0.4,0,0,99.5,22.5,6.9,70.6,0,0,0,100,1.6,0,0,0,0,0,98.4,12.1,0.8,87.1
E36006811,Longford,59.4,6.6,0.4,33.6,0.6,0,0,99.4,0.9,0.1,0.1,98.9,0.4,0,0,99.6,20.4,7.4,72.2,0,0,0,100,1.3,0,0,0,0,0,98.6,10.8,0.7,88.6
E36006812,Lower Stoke,54.3,6.7,0.7,38.3,0.5,0,0.1,99.3,0.8,0.1,0.1,98.9,0.4,0,0,99.6,19.3,7.4,73.3,0,0,0,100,1.6,0,0,0,0.1,0,98.3,16.7,0.7,82.5
E36006813,Radford,50.4,6,0.6,43,0.5,0,0.1,99.3,1,0.1,0.1,98.9,0.4,0,0,99.5,22.6,7,70.4,0,0,0,100,1.9,0,0,0,0.1,0,98,17.7,1,81.4
E36006814,Sherbourne,58,8.2,0.6,33.3,0.7,0.1,0.1,99.1,1,0.1,0.1,98.8,0.6,0,0,99.3,18,9.1,72.9,0,0,0,100,3,0.1,0,0,0.2,0,96.8,12.2,0.8,87
E36006815,St Michael's,34.1,5.4,0.9,59.7,0.5,0.1,0.2,99.2,0.7,0.1,0.1,99.2,0.4,0,0.1,99.5,24.1,6.5,69.4,0,0,0,100,1.1,0,0,0,0.1,0,98.8,33.1,1.3,65.6
E36006816,Upper Stoke,50.9,6.2,0.6,42.3,0.6,0,0.1,99.3,0.9,0.1,0.1,99,0.5,0,0,99.4,21.6,7.1,71.3,0,0,0,100,1.4,0,0,0,0,0,98.5,18,1,81
E36006817,Wainbody,47.8,8.8,0.9,42.6,0.8,0.1,0.2,98.9,0.6,0.1,0.2,99,0.2,0,0.1,99.8,26.5,10.5,63,0,0,0,100,0.7,0,0,0,0.1,0,99.2,13.2,1.5,85.3
E36006818,Westwood,62.3,9.2,0.7,27.8,0.7,0.1,0.1,99,0.8,0.2,0.1,98.9,0.4,0,0.1,99.5,15.8,10.3,73.9,0,0,0,100,1.2,0.1,0,0,0.1,0,98.7,9.2,1,89.8
E36006819,Whoberley,58.1,8.2,0.7,33,0.8,0.1,0.1,98.9,1,0.1,0.1,98.7,0.4,0.1,0,99.5,18,9.2,72.8,0,0,0,100,2.3,0,0,0,0.1,0,97.6,12,0.8,87.1
E36006820,Woodlands,69,8.9,0.5,21.6,0.8,0.1,0.2,98.9,1.1,0.1,0.1,98.7,0.3,0,0,99.6,14.1,9.6,76.3,0,0,0,100,1.3,0,0,0,0.1,0,98.6,4.8,0.5,94.7
E36006821,Wyken,59.7,7.9,0.5,31.9,0.6,0.1,0.1,99.1,1.1,0.1,0.1,98.7,0.3,0,0,99.7,20.4,8.8,70.8,0,0,0,100,1.1,0,0,0,0,0,98.8,8.8,0.8,90.4
