code,name,No passport,United Kingdom,Republic of Ireland,Other Europe: EU countries,Other Europe: Non EU countries,Africa,Middle East and Asia,North America and the Caribbean,Central America,South America,Antarctica and Oceania,British Overseas Territories
E36006804,Bablake,16,78.8,2.2,1.8,0,0.3,1,0.3,0,0,0.1,0
E36006805,Binley and Willenhall,23.2,67.4,1.4,4.4,0.1,2.2,1.3,0.2,0,0,0.1,0
E36006806,Cheylesmore,15.5,74.6,1.5,3.3,0.1,1.4,3.8,0.3,0,0,0.1,0
E36006807,Earlsdon,9.2,82.4,1.6,2.7,0.3,0.8,3.2,0.5,0,0.1,0.2,0
E36006808,Foleshill,16.7,61.7,0.6,7.5,0.5,3.3,10.3,0.3,0,0,0,0
E36006809,Henley,22.8,67,1.6,3.8,0.1,2.3,2.5,0.4,0,0,0.1,0
E36006810,Holbrook,19,70,1.5,5.2,0.2,1.1,3.3,0.2,0,0,0,0
E36006811,Longford,21.8,68.4,1.2,4.2,0.2,1.2,3,0.3,0,0,0.1,0
E36006812,Lower Stoke,17.7,67.2,1.8,7.1,0.2,3,3.1,0.4,0,0.1,0.2,0
E36006813,Radford,19.6,64.6,2,7.3,0.2,1.9,4.6,0.5,0,0.1,0.1,0
E36006814,Sherbourne,15.4,73.2,3.2,4.1,0.2,1.6,2.6,0.3,0,0,0.1,0
E36006815,St Michael's,12.7,57.2,1.2,10.2,0.4,6,12.6,0.5,0,0.1,0.1,0
E36006816,Upper Stoke,19,64.2,1.4,7.1,0.2,2.4,5.6,0.3,0,0,0.1,0
E36006817,Wainbody,7.1,80.5,0.9,3.3,0.4,0.8,7.8,0.6,0,0.1,0.2,0
E36006818,Westwood,19,72.2,1.2,3.3,0.2,1.1,3.3,0.3,0.1,0.1,0.2,0
E36006819,Whoberley,14.2,74.1,2.5,3.7,0.2,1.2,4.1,0.3,0,0.1,0.3,0
E36006820,Woodlands,15.5,80.3,1.4,1.5,0.1,0.7,0.7,0.2,0,0,0.1,0
E36006821,Wyken,15.5,76.5,1.2,2.4,0.1,1.3,3.1,0.2,0,0,0,0
