code,name,All people aged 16 and over in household have English as a main language (English or Welsh in Wales),At least one but not all people aged 16 and over in household have English as a main language (English or Welsh in Wales),No people aged 16 and over in household but at least one person aged 3 to 15 has English as a main language (English or Welsh in Wales),No people in household have English as a main language (English or Welsh in Wales)
E36006804,Bablake,95.1,2.5,0.3,2.1
E36006805,Binley and Willenhall,90.8,2.4,1.3,5.5
E36006806,Cheylesmore,89.4,3.8,0.8,6
E36006807,Earlsdon,89.9,5.2,0.4,4.5
E36006808,Foleshill,51.7,18.3,4.8,25.2
E36006809,Henley,88.5,3.3,2.1,6.1
E36006810,Holbrook,84.3,6.3,1.8,7.6
E36006811,Longford,87,4.9,1.1,6.9
E36006812,Lower Stoke,84.6,5,1.5,9
E36006813,Radford,80,6.9,1.4,11.6
E36006814,Sherbourne,89.1,3.5,0.7,6.7
E36006815,St Michael's,62.5,9.5,2.4,25.6
E36006816,Upper Stoke,80.7,6.4,1.3,11.7
E36006817,Wainbody,86.8,6.7,0.8,5.6
E36006818,Westwood,91.6,3.7,0.7,4
E36006819,Whoberley,90.1,4.5,0.3,5.1
E36006820,Woodlands,95.8,1.4,0.3,2.5
E36006821,Wyken,89.7,3.5,1,5.8
