code,name,Household spaces with at least one usual resident,Household spaces with no usual residents,Whole house or bungalow: Detached,Whole house or bungalow: Semi-detached,Whole house or bungalow: Terraced (including end-terrace),"Flat, maisonette or apartment: Purpose-built block of flats or tenement","Flat, maisonette or apartment: Part of a converted or shared house (including bed-sits)","Flat, maisonette or apartment: In a commercial building",Caravan or other mobile or temporary structure
E36006804,Bablake,96.4,3.6,16.2,32.6,41.5,8.1,0.5,0.6,0.5,,,
E36006805,Binley and Willenhall,95.9,4.1,8.5,29.1,34.8,25.8,1.1,0.6,0,,,
E36006806,Cheylesmore,97.2,2.8,6.3,34.4,33.5,23.7,1.2,0.9,0,,,
E36006807,Earlsdon,96.4,3.6,19.3,41,25.1,10.2,3.2,1.2,0,,,
E36006808,Foleshill,95.6,4.4,9.9,18.8,53.3,13.5,2.6,1.9,0.1,,,
E36006809,Henley,95.7,4.3,12.7,32.6,33.5,19.1,0.4,0.5,1.3,,,
E36006810,Holbrook,96,4,7.8,35.4,48.6,5.9,0.6,1.6,0,,,
E36006811,Longford,97,3,9.2,28.7,40.4,19.3,1,0.6,0.7,,,
E36006812,Lower Stoke,96.5,3.5,5,19.9,61.5,10.6,1.8,1.1,0,,,
E36006813,Radford,96.2,3.8,5,22.8,52.8,15.8,2.3,1.3,0,,,
E36006814,Sherbourne,95.6,4.4,3,17.5,53.8,17.8,6.9,1,0,,,
E36006815,St Michael's,94.6,5.4,6.1,12,43.5,30.7,6.3,1.4,0,,,
E36006816,Upper Stoke,95,5,5.9,21.5,59,10.2,2.1,1.3,0,,,
E36006817,Wainbody,97.5,2.5,32.9,41.2,20.8,4.1,0.3,0.8,0,,,
E36006818,Westwood,96.5,3.5,17.1,35.4,31.2,15,0.5,0.7,0,,,
E36006819,Whoberley,96,4,3.3,18.9,63.4,10.6,3.1,0.6,0,,,
E36006820,Woodlands,96.8,3.2,15.1,35.5,23.7,24.2,0.9,0.7,0,,,
E36006821,Wyken,97.4,2.6,13.3,29.3,43.9,12.7,0.3,0.4,0,,,
