code,name,Does not have central heating,Does have central heating,         - Gas central heating,         - Electric (including storage heaters) central heating,         - Oil central heating,"         - Solid fuel (for example wood, coal) central heating",         - Other central heating,         - Two or more types of central heating,Occupancy rating (rooms) of -1 or less,Occupancy rating (bedrooms) of -1 or less,Average household size,Average number of rooms per household,Average number of bedrooms per household
E36006804,Bablake,2.9,97.1,85.6006120888,6.1361897475,0.8722264728,0.2907421576,0.8416220352,3.3817903596,3.9,2.6,2.4,5.5,2.9
E36006805,Binley and Willenhall,2.4,97.6,82.1976838136,8.9954214921,0.1211957985,0.0403985995,1.9122003771,4.3091839483,11.5,5.6,2.2,4.7,2.5
E36006806,Cheylesmore,4,96,83.200781359,7.7438258686,0.0837170364,0.0279056788,1.5069066555,3.4184456537,6.2,2.8,2.2,5.1,2.7
E36006807,Earlsdon,2.9,97.1,85.4104301245,8.003781314,0.0630219001,0.0787773751,0.7405073263,2.7572081298,4.7,2.3,2.4,6.2,3.2
E36006808,Foleshill,4.6,95.4,77.3054755043,6.7291066282,0.0432276657,0.0432276657,4.2939481268,7.0317002882,18.1,15.7,2.9,4.9,2.5
E36006809,Henley,2.8,97.2,80.4775649436,10.9288900551,0.0393597481,0.0787194962,1.6399895041,4.027814222,9.8,6.1,2.4,4.9,2.6
E36006810,Holbrook,3.1,96.9,86.2588518909,5.2885339762,0.0452011451,0.2561398222,1.2957661594,3.7064938978,8.7,5.6,2.6,5.2,2.8
E36006811,Longford,5.1,94.9,78.9136175028,9.5938639507,0.0628693575,0.2011819439,1.5465861939,4.6020369672,9.3,5.9,2.3,4.9,2.5
E36006812,Lower Stoke,3.7,96.3,84.8714069592,5.3225140971,0.0275065328,0.1237793976,1.4440929721,4.4835648467,8.5,5.9,2.5,5.3,2.8
E36006813,Radford,4.6,95.4,79.5821584209,8.9464239938,0.0512689054,0.0769033581,1.9610356319,4.8320943348,9.8,6.3,2.4,4.9,2.6
E36006814,Sherbourne,4.8,95.2,79.3089263677,11.490470314,0.0959824489,0.0685588921,1.3437542849,2.920608803,10.5,4.3,2.3,5.1,2.7
E36006815,St Michael's,4.7,95.3,66.9561190228,18.9996526572,0.0810466597,0.0347342827,2.4198216973,6.8426536992,24.4,11.8,2.4,4.6,2.5
E36006816,Upper Stoke,4.7,95.3,81.851900914,6.3717048616,0.039740363,0.0662339383,2.0532520864,4.9410517949,11.1,7,2.4,5,2.6
E36006817,Wainbody,1.1,98.9,92.3486786019,3.0690537084,0.1065643649,0.042625746,0.5967604433,2.7493606138,2.4,2,2.6,6.3,3.3
E36006818,Westwood,2.9,97.1,87.1216216216,4.7567567568,0.0540540541,0.1351351351,1.1351351351,3.8648648649,7.9,4.4,2.4,5.4,2.8
E36006819,Whoberley,4.6,95.4,83.5344215756,7.8353442158,0.0283889283,0.0567778566,0.9652235628,2.9666430092,6,3.6,2.2,5.2,2.7
E36006820,Woodlands,2.4,97.6,87.2819962436,6.6407298095,0.0134156158,0.0939093104,0.7378588677,2.8306949289,5.2,2.8,2.2,5.2,2.7
E36006821,Wyken,3,97,86.0891234242,7.0067428906,0.0586338317,0.0439753738,1.1433597186,2.6531808854,6,3.6,2.4,5.3,2.8
