code,name,No cars or vans in household,1 car or van in household,2 cars or vans in household,3 cars or vans in household,4 or more cars or vans in household
E36006804,Bablake,20,41.8,29.6,6.2,2.4
E36006805,Binley and Willenhall,39.2,41.2,15.6,3.1,0.8
E36006806,Cheylesmore,27.7,45.9,21.4,3.7,1.3
E36006807,Earlsdon,18.6,39.4,32.8,6.8,2.5
E36006808,Foleshill,49.6,37.2,10.7,1.9,0.5
E36006809,Henley,34.3,44,17.1,3.6,1
E36006810,Holbrook,27.1,46.5,20.5,4.5,1.4
E36006811,Longford,36.9,42.2,16.5,3.4,1.1
E36006812,Lower Stoke,29.8,45.2,19.7,4.3,1
E36006813,Radford,37.7,43.4,15.4,2.8,0.7
E36006814,Sherbourne,30.6,41.5,22.8,3.7,1.3
E36006815,'St Michael''s',56.4,33.6,8.1,1.3,0.6
E36006816,Upper Stoke,36.1,42.3,16.9,3.9,0.8
E36006817,Wainbody,13.3,39.5,36,8.5,2.7
E36006818,Westwood,30.5,40,22.9,4.9,1.6
E36006819,Whoberley,29.2,46.1,20.1,3.7,0.9
E36006820,Woodlands,23.1,43.9,26.4,4.8,1.8
E36006821,Wyken,23.2,43.9,25.7,5.7,1.5
