code,name,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Retired,Economically inactive: Student (including full-time students),Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other,Unemployed: Age 16 to 24,Unemployed: Age 50 to 74,Unemployed: Never worked,Long-term unemployed
E36006804,Bablake,5.2,48.4,13.3,4.2,3,15.9,4.8,0.7,3.2,1.3,1.3,0.9,0.6,1.2
E36006805,Binley and Willenhall,5.2,46.3,7,10,3.3,12.6,4.3,1.2,7.8,2.4,3,1.6,1.7,3.8
E36006806,Cheylesmore,5.7,49.7,10.2,5,3.1,13,6.5,0.8,4.2,1.8,1.5,1,0.7,1.8
E36006807,Earlsdon,6.2,45.3,13.2,3.2,5.2,12.7,10.4,0.5,2.3,1.1,1,0.9,0.3,1
E36006808,Foleshill,9.7,33,9.7,11.5,5.5,6.8,10,2,7,4.8,2.9,1.6,2.6,4.5
E36006809,Henley,6.6,46.9,8.3,8.5,3.5,12.2,5.2,1.4,5.6,1.8,2.6,1.3,1.5,2.8
E36006810,Holbrook,6.9,48.7,8.8,7,3.5,11.4,5.2,1.4,4.8,2.3,2.7,1,1.4,2.2
E36006811,Longford,6,46.3,9,8.8,3.1,11.3,4.8,1.2,7,2.6,2.5,1.2,1.2,3.4
E36006812,Lower Stoke,6.4,49.1,8.7,6.5,5,9,8.3,1,4.4,1.8,1.9,1,1.2,2.5
E36006813,Radford,6.5,45.9,8.8,7.8,4.5,8.9,9,1,5.3,2.3,2.1,1.1,1.1,3
E36006814,Sherbourne,5.2,47.4,10.6,5.6,5.4,10.1,9.3,0.7,3.9,1.9,1.1,1.3,0.5,2.1
E36006815,St Michael's,5.6,21.2,4.4,6.6,15.8,3.7,35.2,0.8,4.2,2.4,1.6,0.9,1.5,2.3
E36006816,Upper Stoke,6,44.5,8.6,7.6,6.9,9.5,8.8,0.8,5.1,2.2,2.1,1.3,1.2,3
E36006817,Wainbody,3.9,32.9,11.2,2.4,6.4,11.6,29.1,0.4,1.4,0.8,0.7,0.6,0.4,0.8
E36006818,Westwood,4.9,43.5,9,5.8,4.4,10.1,15.2,1,4.6,1.6,1.8,1.2,1,2.4
E36006819,Whoberley,5.5,45.6,8.9,5,5.9,9.9,14.3,0.5,3,1.4,1.4,1,0.8,1.7
E36006820,Woodlands,5.7,49.2,9.3,5.7,3.1,17,3.5,0.6,4.5,1.3,1.5,1.2,0.8,2.3
E36006821,Wyken,6,54.3,9.5,5.7,2.8,10.5,4.9,0.5,4.1,1.6,1.5,1.4,0.6,2.2
