code,name,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations
E36006804,Bablake,6.8,18.8,12.4,21.7,2.1,16.7,10.8,1.5,9.3
E36006805,Binley and Willenhall,4,11.5,6.9,19.1,2.5,20.6,14.6,2.3,18.4
E36006806,Cheylesmore,6.4,19,11.9,19.9,2.5,16.4,12.1,2,9.8
E36006807,Earlsdon,8,33.1,13.1,17.7,1.8,10.8,8,1.4,6.2
E36006808,Foleshill,4.4,9.8,6.2,13.3,2.5,19.7,15.9,4.9,23.3
E36006809,Henley,5,17.9,7.9,17,2.7,18.7,11.4,2.2,17.2
E36006810,Holbrook,4.8,12.2,9.2,19.2,2,19.1,14.3,3.7,15.4
E36006811,Longford,4.8,11.3,9.3,17.3,2.8,19.3,14.8,3.1,17.2
E36006812,Lower Stoke,5.8,17.5,10.4,17.5,2.4,17.8,11.1,2.2,15.4
E36006813,Radford,6.4,12.9,8.2,17.1,2.7,17.8,14.2,3,17.7
E36006814,Sherbourne,6.2,18.9,11.3,20.3,2.1,17.3,11.9,1.6,10.5
E36006815,St Michael's,3.8,11.6,8.8,12.3,2.1,17,18.7,1.9,23.8
E36006816,Upper Stoke,4.1,14.6,7.8,17.4,2.6,18,13.6,3,18.9
E36006817,Wainbody,7.4,25,11.8,22.8,1.6,12.5,9.7,1,8.4
E36006818,Westwood,6.5,17,11.1,19.8,1.9,16.3,12,1.8,13.8
E36006819,Whoberley,6.6,22.4,12,20.3,2.2,13.6,11.9,1.3,9.7
E36006820,Woodlands,6.8,16.1,11.4,24.6,1.8,16.6,11.1,1.2,10.5
E36006821,Wyken,5,18.9,10.6,21.4,2,16.6,11.6,1.7,12.3
