code,name,Very likely,Fairly likely,Not very likely,Not at all likely,Don't know
E36006804,Bablake ,10.39,27.27,35.71,20.78,5.84
E36006805,Binley and Willenhall ,6.15,42.31,30.77,16.92,3.85
E36006806,Cheylesmore,15.33,23.33,42.67,13.33,5.33
E36006807,Earlsdon,5.56,43.33,43.33,5.56,2.22
E36006808,Foleshill,10.53,36.18,41.45,10.53,1.32
E36006809,Henley,12.99,31.82,34.42,15.58,5.19
E36006810,Holbrook,18.35,37.97,30.38,12.03,1.27
E36006811,Longford,19.75,27.16,33.95,16.05,3.09
E36006812,Lower Stoke,7.55,61.32,29.25,1.89,0
E36006813,Radford,10.56,33.1,36.62,16.9,2.82
E36006814,Sherbourne,27.95,26.71,19.88,19.25,6.21
E36006815,St Michael's,3.45,23.28,33.62,22.41,17.24
E36006816,Upper Stoke,9.83,32.95,40.46,12.72,4.05
E36006817,Wainbody,9.42,33.33,37.68,13.04,6.52
E36006818,Westwood,13.56,22.6,24.86,29.38,9.6
E36006819,Whoberley,2.05,31.51,36.3,14.38,15.75
E36006820,Woodlands,2.86,25,35.71,22.14,14.29
E36006821,Wyken,4.03,24.19,47.58,20.97,3.23
