code,name,Museums and galleries,"Pubs, clubs, and bars",Live events,Live music,Theatre,Cinema,"Activities organised by arts-based community groups (e.g. dance, music, arts, etc)",Faith-based cultural activities,I have attended cultural events at least three times in the last 12 months.,I have not attended cultural events at least three times in the last 12 months.
E36006804,Bablake ,37.01298701,57.14285714,14.93506494,14.28571429,30.51948052,48.7012987,12.98701299,16.88311688,83.77,16.23,,,,,
E36006805,Binley and Willenhall ,18.46153846,42.30769231,4.61538462,6.92307692,11.53846154,31.53846154,7.69230769,3.07692308,56.92,43.08,,,,,
E36006806,Cheylesmore,27.33333333,53.33333333,14.66666667,9.33333333,16,48.66666667,6.66666667,10,79.33,20.67,,,,,
E36006807,Earlsdon,25.55555556,58.88888889,11.11111111,12.22222222,28.88888889,42.22222222,13.33333333,17.77777778,81.11,18.89,,,,,
E36006808,Foleshill,18.42105263,15.13157895,7.89473684,7.23684211,3.94736842,33.55263158,9.21052632,11.18421053,52.63,47.37,,,,,
E36006809,Henley,26.62337662,46.75324675,18.18181818,14.93506494,18.83116883,44.15584416,16.23376623,9.09090909,75.32,24.68,,,,,
E36006810,Holbrook,22.15189873,46.20253165,6.96202532,5.69620253,12.02531646,39.87341772,5.69620253,9.49367089,74.05,25.95,,,,,
E36006811,Longford,31.48148148,45.67901235,12.96296296,16.04938272,16.04938272,43.82716049,12.96296296,14.81481481,74.07,25.93,,,,,
E36006812,Lower Stoke,16.03773585,39.62264151,12.26415094,10.37735849,17.9245283,35.8490566,7.54716981,14.1509434,61.32,38.68,,,,,
E36006813,Radford,34.50704225,38.73239437,6.33802817,7.74647887,16.1971831,42.25352113,7.74647887,5.63380282,66.2,33.8,,,,,
E36006814,Sherbourne,47.20496894,61.49068323,23.60248447,23.60248447,34.16149068,58.38509317,15.52795031,14.28571429,82.61,17.39,,,,,
E36006815,St Michael's,41.37931034,45.68965517,6.03448276,7.75862069,12.06896552,50,9.48275862,12.06896552,79.31,20.69,,,,,
E36006816,Upper Stoke,27.74566474,42.77456647,14.45086705,14.45086705,16.1849711,40.46242775,9.24855491,15.02890173,70.52,29.48,,,,,
E36006817,Wainbody,41.30434783,55.07246377,24.63768116,15.94202899,34.7826087,53.62318841,15.94202899,16.66666667,82.61,17.39,,,,,
E36006818,Westwood,32.76836158,54.23728814,11.29943503,16.38418079,20.9039548,45.19774011,12.99435028,6.77966102,74.01,25.99,,,,,
E36006819,Whoberley,36.30136986,64.38356164,19.8630137,19.17808219,32.87671233,53.42465753,7.53424658,4.10958904,81.51,18.49,,,,,
E36006820,Woodlands,29.28571429,51.42857143,16.42857143,11.42857143,23.57142857,30.71428571,2.14285714,4.28571429,67.14,32.86,,,,,
E36006821,Wyken,35.48387097,47.58064516,16.12903226,7.25806452,27.41935484,47.58064516,12.09677419,16.12903226,78.23,21.77,,,,,
