code,name,My children have attended cultural events at least three times in the last 12 months.,They have not attended cultural events at least three times in the last 12 months.,Don't know
E36006804,Bablake ,36.36,63.64,0
E36006805,Binley and Willenhall ,23.08,69.23,7.69
E36006806,Cheylesmore,28.57,64.29,7.14
E36006807,Earlsdon,50,37.5,12.5
E36006808,Foleshill,13.73,84.31,1.96
E36006809,Henley,42.86,46.43,10.71
E36006810,Holbrook,29.41,67.65,2.94
E36006811,Longford,38.89,50,11.11
E36006812,Lower Stoke,38.46,38.46,23.08
E36006813,Radford,26.09,65.22,8.7
E36006814,Sherbourne,56.52,30.43,13.04
E36006815,St Michael's,35.29,29.41,35.29
E36006816,Upper Stoke,43.59,48.72,7.69
E36006817,Wainbody,57.14,14.29,28.57
E36006818,Westwood,23.53,38.24,38.24
E36006819,Whoberley,10.34,24.14,65.52
E36006820,Woodlands,5.56,58.33,36.11
E36006821,Wyken,78.57,21.43,0
