code,name,My children have attended cultural events at least three times in the last 12 months.,They have not attended cultural events at least three times in the last 12 months.,Don't know
E36006804,Bablake ,79.41,20.59,0
E36006805,Binley and Willenhall ,60,36,4
E36006806,Cheylesmore,70.59,26.47,2.94
E36006807,Earlsdon,80,15,5
E36006808,Foleshill,34.33,64.18,1.49
E36006809,Henley,72.41,22.41,5.17
E36006810,Holbrook,52.94,45.1,1.96
E36006811,Longford,81.97,14.75,3.28
E36006812,Lower Stoke,73.33,16.67,10
E36006813,Radford,62.22,33.33,4.44
E36006814,Sherbourne,77.27,15.91,6.82
E36006815,St Michael's,63.33,16.67,20
E36006816,Upper Stoke,67.65,27.94,4.41
E36006817,Wainbody,80.65,6.45,12.9
E36006818,Westwood,55.93,22.03,22.03
E36006819,Whoberley,49.02,13.73,37.25
E36006820,Woodlands,27.66,44.68,27.66
E36006821,Wyken,91.89,8.11,0
