code,name,Agree strongly,Agree slightly ,Neither agree nor disagree,Disagree slightly,Disagree strongly,Don't know
E36006804,Bablake ,35.06,24.68,12.34,5.19,2.6,20.13
E36006805,Binley and Willenhall ,26.92,46.15,11.54,4.62,1.54,9.23
E36006806,Cheylesmore,42.67,34.67,12,3.33,3.33,4
E36006807,Earlsdon,62.22,17.78,6.67,6.67,1.11,5.56
E36006808,Foleshill,30.92,40.79,15.79,6.58,1.97,3.95
E36006809,Henley,54.55,17.53,11.69,6.49,3.9,5.84
E36006810,Holbrook,44.94,35.44,6.96,3.16,4.43,5.06
E36006811,Longford,50,28.4,6.79,7.41,3.09,4.32
E36006812,Lower Stoke,23.58,44.34,10.38,6.6,2.83,12.26
E36006813,Radford,45.07,26.06,9.86,5.63,1.41,11.97
E36006814,Sherbourne,67.7,21.12,5.59,0.62,2.48,2.48
E36006815,St Michael's,33.62,38.79,13.79,2.59,0,11.21
E36006816,Upper Stoke,42.77,28.32,10.4,6.36,4.62,7.51
E36006817,Wainbody,42.03,34.78,11.59,2.17,7.97,1.45
E36006818,Westwood,54.8,29.38,5.65,2.82,1.13,6.21
E36006819,Whoberley,49.32,27.4,13.7,4.11,2.05,3.42
E36006820,Woodlands,43.57,39.29,7.86,5.71,0.71,2.86
E36006821,Wyken,35.48,33.06,7.26,7.26,4.03,12.9
