code,name,1,2,3,4,5,Don't know
E36006804,Bablake,22,24,38,8,3,4
E36006805,Binley and Willenhall,16,28,41,12,2,1
E36006806,Cheylesmore,15,18,46,15,3,3
E36006807,Earlsdon,12,20,42,18,6,2
E36006808,Foleshill,13,7,46,14,16,5
E36006809,Henley,18,9,40,16,10,7
E36006810,Holbrook,13,16,41,18,4,6
E36006811,Longford,13,19,46,14,4,4
E36006812,Lower Stoke,14,26,43,13,1,2
E36006813,Radford,11,8,44,25,9,2
E36006814,Sherbourne,14,19,48,14,3,1
E36006815,St Michael's,9,19,33,28,11,0
E36006816,Upper Stoke,16,9,42,21,9,3
E36006817,Wainbody,16,14,52,12,4,1
E36006818,Westwood,8,25,47,14,2,4
E36006819,Whoberley,10,23,54,10,3,1
E36006820,Woodlands,21,29,34,11,1,4
E36006821,Wyken,15,25,39,15,4,2
