code,name,Very satisfied,Fairly satisfied,Neither satisfied nor dissatisfied,Fairly dissatisfied,Very dissatisfied,'Don''t know'
E36006804,Bablake ,49,44,2,5,1,0
E36006805,Binley and Willenhall ,31,61,5,4,0,0
E36006806,Cheylesmore,39,53,5,1,1,0
E36006807,Earlsdon,40,53,4,2,0,0
E36006808,Foleshill,12,63,6,11,9,0
E36006809,Henley,46,42,5,6,1,0
E36006810,Holbrook,29,62,5,3,1,0
E36006811,Longford,28,52,10,5,4,1
E36006812,Lower Stoke,13,75,8,2,1,0
E36006813,Radford,30,61,4,6,0,0
E36006814,Sherbourne,47,42,8,2,1,1
E36006815,'St Michael''s',22,57,11,9,1,0
E36006816,Upper Stoke,32,50,8,7,3,0
E36006817,Wainbody,55,39,2,2,0,1
E36006818,Westwood,45,48,2,3,1,0
E36006819,Whoberley,38,55,5,1,0,0
E36006820,Woodlands,47,45,4,4,1,0
E36006821,Wyken,35,58,2,4,1,0
