code,name,Everyday activity – None,Everyday activity – Less than 1 hour,Everyday activity – Between 1 hour and 2.5 hours,Everyday activity - More than 2.5 hours,Active recreation – None,Active recreation – Less than 1 hour,Active recreation – Between 1 hour and 2.5 hours,Active recreation - More than 2.5 hours,Sport – None,Sport – Less than 1 hour,Sport – Between 1 hour and 2.5 hours,Sport - More than 2.5 hours
E36006804,Bablake ,12,5,14,69,51,3,9,38,74,6,5,15
E36006805,Binley and Willenhall ,37,5,23,35,58,8,14,20,67,8,15,11
E36006806,Cheylesmore,25,8,14,53,41,4,11,45,70,2,3,25
E36006807,Earlsdon,13,7,21,59,32,7,24,37,52,4,16,28
E36006808,Foleshill,40,8,11,41,52,9,8,31,74,7,7,13
E36006809,Henley,22,17,19,42,34,16,16,34,63,11,8,18
E36006810,Holbrook,16,22,13,49,51,15,7,28,72,8,8,13
E36006811,Longford,21,17,17,46,38,16,15,30,68,8,9,15
E36006812,Lower Stoke,25,24,26,25,34,24,22,21,43,25,19,13
E36006813,Radford,25,6,18,51,32,9,18,41,70,4,11,15
E36006814,Sherbourne,16,16,17,51,33,15,9,43,60,4,12,24
E36006815,'St Michael''s',19,21,33,28,65,13,10,12,60,5,19,16
E36006816,Upper Stoke,31,12,14,44,31,14,10,44,67,6,8,18
E36006817,Wainbody,12,7,17,64,23,11,20,46,47,13,8,32
E36006818,Westwood,11,21,20,48,44,14,13,29,63,6,7,25
E36006819,Whoberley,18,22,15,45,56,12,15,16,68,10,10,12
E36006820,Woodlands,15,23,20,42,61,21,11,6,78,4,9,9
E36006821,Wyken,43,15,18,25,47,15,10,28,65,10,7,17
