code,name,"Yes, limited a lot","Yes, limited a little",Not at all
E36006804,Bablake ,10.39,16.23,73.38,,
E36006805,Binley and Willenhall ,15.38,12.31,72.31,,
E36006806,Cheylesmore,10.67,8.67,80.67,,
E36006807,Earlsdon,7.78,10,82.22,,
E36006808,Foleshill,7.89,7.24,84.87,,
E36006809,Henley,11.04,17.53,71.43,,
E36006810,Holbrook,9.49,11.39,79.11,,
E36006811,Longford,11.73,17.9,70.37,,
E36006812,Lower Stoke,13.21,6.6,80.19,,
E36006813,Radford,9.15,16.9,73.94,,
E36006814,Sherbourne,12.42,6.83,80.75,,
E36006815,St Michael's,7.76,2.59,89.66,,
E36006816,Upper Stoke,10.98,12.14,76.88,,
E36006817,Wainbody,6.52,7.25,86.23,,
E36006818,Westwood,10.17,11.3,78.53,,
E36006819,Whoberley,8.9,13.7,77.4,,
E36006820,Woodlands,12.14,15.71,72.14,,
E36006821,Wyken,8.06,16.13,75.81,,
