code,name,Physical,Sensory,Learning,Mental,Other
E36006804,Bablake ,37,1,1,5,0
E36006805,Binley and Willenhall ,31,1,2,2,2
E36006806,Cheylesmore,26,1,1,3,3
E36006807,Earlsdon,15,1,0,1,1
E36006808,Foleshill,16,2,0,3,3
E36006809,Henley,34,3,3,11,2
E36006810,Holbrook,27,0,1,0,6
E36006811,Longford,37,1,0,9,7
E36006812,Lower Stoke,20,0,1,2,0
E36006813,Radford,29,1,0,9,2
E36006814,Sherbourne,25,0,0,8,2
E36006815,'St Michael''s',9,0,0,4,0
E36006816,Upper Stoke,37,3,2,4,0
E36006817,Wainbody,17,1,1,2,1
E36006818,Westwood,34,4,0,2,0
E36006819,Whoberley,29,2,2,6,0
E36006820,Woodlands,38,1,0,1,1
E36006821,Wyken,24,0,2,5,3
