code,name,Definitely agree,Tend to agree,Tend to disagree,Definitely disagree,Don't know
E36006804,Bablake ,11.04,24.03,33.77,22.73,8.44
E36006805,Binley and Willenhall ,3.85,39.23,35.38,13.85,7.69
E36006806,Cheylesmore,9.33,34.67,32,9.33,14.67
E36006807,Earlsdon,3.33,50,27.78,3.33,15.56
E36006808,Foleshill,3.29,25.66,54.61,9.87,6.58
E36006809,Henley,11.69,39.61,30.52,5.84,12.34
E36006810,Holbrook,10.13,32.28,32.28,15.19,10.13
E36006811,Longford,5.56,35.19,37.65,14.81,6.79
E36006812,Lower Stoke,4.72,64.15,20.75,0.94,9.43
E36006813,Radford,5.63,33.8,40.14,7.04,13.38
E36006814,Sherbourne,8.07,33.54,28.57,11.18,18.63
E36006815,St Michael's,5.17,37.93,28.45,5.17,23.28
E36006816,Upper Stoke,5.78,26.01,39.88,13.29,15.03
E36006817,Wainbody,10.14,44.93,30.43,5.8,8.7
E36006818,Westwood,7.34,31.07,34.46,8.47,18.64
E36006819,Whoberley,0.68,49.32,33.56,4.11,12.33
E36006820,Woodlands,3.57,47.86,25,13.57,10
E36006821,Wyken,5.65,32.26,40.32,12.9,8.87
