code,name,1 adult in household,0 or multiple adults in household
E36006804,Bablake,13.9370513528,86.0629486472
E36006805,Binley and Willenhall,25.2122069523,74.7877930477
E36006806,Cheylesmore,19.3708096957,80.6291903043
E36006807,Earlsdon,13.1267664608,86.8732335392
E36006808,Foleshill,19.1989183708,80.8010816292
E36006809,Henley,21.1816644749,78.8183355251
E36006810,Holbrook,16.0954235638,83.9045764362
E36006811,Longford,23.9116942991,76.0883057009
E36006812,Lower Stoke,17.0300429185,82.9699570815
E36006813,Radford,20.8727699137,79.1272300863
E36006814,Sherbourne,21.3743988161,367.8494158373
E36006815,St Michael's,22.2822822823,77.7177177177
E36006816,Upper Stoke,19.1076870979,80.8923129021
E36006817,Wainbody,8.9832466782,91.0167533218
E36006818,Westwood,17.416967668,82.583032332
E36006819,Whoberley,18.1138424152,81.8861575848
E36006820,Woodlands,20.2869060942,79.7130939058
E36006821,Wyken,15.5266955267,84.4733044733
