code,name,Household is not deprived in any dimension,Household is deprived in 1 dimension,Household is deprived in 2 dimensions,Household is deprived in 3 dimensions,Household is deprived in 4 dimensions
E36006804,Bablake,43.7949502678,32.5019127774,19.4491201224,3.947972456,0.3060443764
E36006805,Binley and Willenhall,30.0969566388,34.2176137894,25.0201992998,9.1570158901,1.5082143819
E36006806,Cheylesmore,41.8306125296,31.9938607507,20.0362773824,5.5671829217,0.5720664155
E36006807,Earlsdon,55.3332282968,30.2032456279,11.9268945959,2.300299354,0.2363321254
E36006808,Foleshill,21.6426512968,34.0057636888,30.0144092219,12.5936599424,1.7435158501
E36006809,Henley,32.2881133561,33.2065074784,25.9774337444,7.7013907111,0.82655471
E36006810,Holbrook,34.2172668374,33.7953894832,23.5497965948,7.6992617146,0.7382853699
E36006811,Longford,30.0264051301,34.5907204828,25.7387149503,8.6759713316,0.9681881051
E36006812,Lower Stoke,40.6271489479,32.6227479026,20.4786136707,5.7901251547,0.481364324
E36006813,Radford,34.4270699821,33.260702384,23.6477826198,8.0364009228,0.6280440913
E36006814,Sherbourne,42.7396133278,32.4969148499,18.318935966,5.4984231455,0.9461127108
E36006815,St Michael's,31.0408706727,36.2741692717,22.6467523446,8.7298830612,1.3083246498
E36006816,Upper Stoke,33.9382699695,33.7395681547,23.65876275,7.6036561134,1.0597430123
E36006817,Wainbody,52.9838022165,32.7152600171,12.3188405797,1.8968456948,0.0852514919
E36006818,Westwood,41.3378378378,31.1351351351,20.0540540541,6.8513513514,0.6216216216
E36006819,Whoberley,48.0908445706,31.0574875798,16.5933286018,3.8466997871,0.4116394606
E36006820,Woodlands,43.7617386638,32.3182184062,18.9026026295,4.4808156694,0.5366246311
E36006821,Wyken,43.3597185576,32.1753151568,19.4077982996,4.7346819115,0.3224860745
