code,name,Other religion: Total,Other religion: Animism,Other religion: Baha'i,Other religion: Believe in God,Other religion: Brahma Kumari,Other religion: Chinese Religion,Other religion: Church of All Religion,Other religion: Confucianist,Other religion: Deist,Other religion: Druid,Other religion: Druze,Other religion: Eckankar,Other religion: Heathen,Other religion: Jain,Other religion: Mixed Religion,Other religion: Mysticism,Other religion: Native American Church,Other religion: New Age,Other religion: Occult,Other religion: Own Belief System,Other religion: Pagan,Other religion: Pantheism,Other religion: Rastafarian,Other religion: Ravidassia,Other religion: Reconstructionist,Other religion: Satanism,Other religion: Scientology,Other religion: Shamanism,Other religion: Shintoism,Other religion: Spiritual,Other religion: Spiritualist,Other religion: Taoist,Other religion: Theism,Other religion: Thelemite,Other religion: Traditional African Religion,Other religion: Unification Church,Other religion: Universalist,Other religion: Vodun,Other religion: Wicca,Other religion: Witchcraft,Other religion: Zoroastrian,Other religion: Other religions,No religion: Total,No religion: No religion,No religion: Agnostic,No religion: Atheist,No religion: Free Thinker,No religion: Heavy Metal,No religion: Humanist,No religion: Jedi Knight,No religion: Realist,Religion not stated
E36006804,Bablake,0.3111901435,0,0,0,0,0,0,0,0,0.025403277,0,0,0,0,0.0571573733,0,0,0,0,0,0.1079639273,0,0.0127016385,0.0190524578,0,0,0,0,0.0063508193,0,0.025403277,0,0,0,0,0,0.0063508193,0,0.0127016385,0,0,0.0381049155,22.2469198527,21.9738346247,0.0317540963,0.0190524578,0,0,0.0317540963,0.1905245777,0,6.7890257843
E36006805,Binley and Willenhall,0.3415014079,0,0,0,0,0,0,0,0.0059912528,0,0,0,0,0.0059912528,0.0239650111,0,0,0,0,0,0.1617638248,0,0.0179737583,0,0,0.0119825055,0,0,0.0059912528,0,0.0299562639,0,0,0,0,0,0,0,0.0359475166,0,0,0.0419387694,24.5521538554,24.1986699419,0.0539212749,0.0419387694,0,0.0059912528,0.0119825055,0.2396501108,0,6.1829728596
E36006806,Cheylesmore,0.6116015132,0,0,0,0,0,0,0,0.0189155107,0,0,0,0.0063051702,0.0504413619,0.0189155107,0,0,0,0,0.0126103405,0.1513240858,0,0.0063051702,0.1261034048,0,0,0.0063051702,0,0,0.0063051702,0.1387137453,0.0063051702,0.0063051702,0,0,0,0,0,0.0189155107,0,0.025220681,0.0126103405,22.4653215637,22.10592686,0.0315258512,0.0693568726,0.0189155107,0,0.0189155107,0.2206809584,0,6.5384615385
E36006807,Earlsdon,0.5133203379,0,0.0259909032,0,0,0,0,0,0,0,0,0,0,0.0194931774,0.0779727096,0,0,0,0,0,0.0779727096,0.0129954516,0.0129954516,0.1429499675,0,0,0,0,0,0.0129954516,0.064977258,0.0129954516,0.0064977258,0,0.0064977258,0,0.0064977258,0.0064977258,0.0064977258,0,0.0129954516,0.0064977258,25.0747238467,24.6328784925,0.0584795322,0.0389863548,0,0.0129954516,0.0519818064,0.2794022092,0,7.0565302144
E36006808,Foleshill,0.7772150629,0,0.0050142907,0,0,0,0.0100285815,0,0,0,0,0,0,0.0100285815,0.0501429073,0.0050142907,0,0,0,0,0.1253572682,0.0050142907,0.0050142907,0.4462718748,0,0,0,0,0,0.0150428722,0.0300857444,0.0050142907,0,0,0,0,0,0,0,0,0.055157198,0.0100285815,11.6281401996,11.4676828963,0.0050142907,0.0200571629,0,0,0,0.1353858497,0,6.8094068094
E36006809,Henley,0.4864185386,0,0.0218615074,0.0109307537,0,0,0,0,0,0.0054653768,0,0,0.0109307537,0.0109307537,0.0273268842,0.0054653768,0,0,0,0.0109307537,0.1147729136,0,0.0437230147,0.0491883915,0,0.0054653768,0,0,0.0054653768,0.0273268842,0.0765152757,0,0,0,0.0054653768,0,0,0,0.0273268842,0.0109307537,0,0.0163961305,21.9708148877,21.7303383068,0.032792261,0.0109307537,0,0,0.0054653768,0.1912881893,0,6.3780947696
E36006810,Holbrook,0.4096202235,0,0,0.0175551524,0.0058517175,0,0,0,0,0,0,0,0.0058517175,0,0.0234068699,0,0,0,0.0058517175,0.0058517175,0.1111826321,0,0.0175551524,0.0877757622,0.0058517175,0,0,0,0,0.0234068699,0.0585171748,0.011703435,0,0,0,0,0,0,0.0175551524,0,0.011703435,0,20.8847796828,20.568786939,0.0292585874,0.0292585874,0,0,0.0292585874,0.2282169817,0,5.4889109954
E36006811,Longford,0.5124608911,0,0.0053943252,0,0,0,0.0053943252,0,0,0,0,0,0,0.0107886503,0.0107886503,0,0,0,0,0,0.0917035279,0,0,0.2589276082,0,0,0,0,0.0053943252,0.0161829755,0.0809148775,0,0,0,0,0,0,0,0.0215773007,0,0,0.0053943252,24.1234221599,23.8591002266,0.032365951,0.0161829755,0,0.0107886503,0.0107886503,0.1941957061,0,6.570288057
E36006812,Lower Stoke,0.5447093086,0.0053931615,0.0215726459,0.0107863229,0,0,0,0,0,0,0,0.0053931615,0,0.0107863229,0.0323589688,0,0,0.0053931615,0,0.0053931615,0.1294358753,0,0.0107863229,0.1078632294,0,0,0,0,0,0.0107863229,0.1348290368,0.0053931615,0,0,0.0053931615,0,0.0053931615,0,0.0269658074,0.0053931615,0,0.0053931615,21.4378168482,21.1843382591,0.0485384532,0,0,0.0053931615,0.0107863229,0.1887606515,0,6.0780929781
E36006813,Radford,0.5985486519,0.0052968907,0,0,0,0,0,0,0.0052968907,0,0,0,0.0052968907,0,0.0264844536,0,0,0,0,0.0105937815,0.1430160496,0.0052968907,0.0211875629,0.1589067218,0,0,0,0,0,0.0317813444,0.0847502516,0.0052968907,0,0,0.0264844536,0,0,0,0.0423751258,0.0052968907,0.0052968907,0.0158906722,23.2003813761,22.8401928068,0.0264844536,0.0529689073,0,0,0.0211875629,0.2595476455,0,6.668785423
E36006814,Sherbourne,0.4529471363,0,0,0.0059598307,0,0,0,0,0.0059598307,0.0178794922,0,0,0.0178794922,0.0059598307,0.0417188152,0,0,0,0,0.0059598307,0.1072769533,0,0.0119196615,0.0834376304,0,0,0.0059598307,0,0,0.0178794922,0.0536384767,0.0119196615,0.0059598307,0,0.0119196615,0,0,0,0.0059598307,0,0,0.0357589844,24.9061326658,24.4949043447,0.0536384767,0.0536384767,0,0.023839323,0.0417188152,0.2383932296,0,6.4485368616
E36006815,St Michael's,0.5970396783,0,0.0207305444,0.0248766533,0.0082922178,0,0,0,0.0041461089,0.0082922178,0,0,0.0041461089,0.0746299598,0.0207305444,0,0,0,0,0.0082922178,0.1160910486,0,0.0248766533,0.1368215929,0,0.0082922178,0,0,0,0.0165844355,0.033168871,0.0124383266,0,0,0,0,0.0041461089,0,0.0207305444,0.0041461089,0.0082922178,0.0373149799,23.3716157386,22.6999461006,0.1534060284,0.1077988308,0,0.033168871,0.0165844355,0.3607114723,0,6.2855010573
E36006816,Upper Stoke,0.8218581614,0,0,0,0,0,0,0,0,0.0054427693,0,0,0,0.0054427693,0.0272138464,0,0,0,0,0,0.1034126163,0,0.0272138464,0.4082076961,0,0.0217710771,0,0,0.0054427693,0.0272138464,0.0435421542,0.0272138464,0,0,0.0108855386,0,0,0,0.0217710771,0.0108855386,0.0598704621,0.0163283078,20.9546617319,20.5573395744,0.0217710771,0.0435421542,0,0.0054427693,0.0217710771,0.3047950797,0,5.7257932836
E36006817,Wainbody,0.6475300401,0,0.0333778371,0,0,0,0,0,0,0,0,0,0,0.173564753,0.0200267023,0,0,0,0,0,0.0333778371,0.0200267023,0.0133511348,0.2136181575,0,0,0,0,0,0.0133511348,0.0400534045,0,0.0066755674,0,0,0,0,0,0.0200267023,0,0.0333778371,0.0267022697,24.4592790387,24.0253671562,0.0734312417,0.0801068091,0,0,0.0133511348,0.2670226969,0,6.3684913218
E36006818,Westwood,0.3938069806,0,0.0161838485,0.0053946162,0.0053946162,0,0,0,0,0.0107892323,0,0,0.0053946162,0.0647353941,0.0269730809,0,0,0,0,0,0.1402600205,0,0.0161838485,0.032367697,0,0,0,0,0,0.0053946162,0.032367697,0,0.0053946162,0,0,0,0.0053946162,0,0,0,0,0.0215784647,29.3790796785,28.9421157685,0.0539461617,0.0485515456,0.0215784647,0.0161838485,0.0161838485,0.280520041,0,7.0399741058
