code,name,Owned,Shared ownership (part owned and part rented),Rented from council (Local Authority),Other social rented,Private rented,Living rent free
E36006804,Bablake,84.8018648019,0.0932400932,3.1701631702,7.7389277389,2.8438228438,1.351981352
E36006805,Binley and Willenhall,64.3356643357,0.372960373,6.013986014,15.8974358974,2.8438228438,1.7715617716
E36006806,Cheylesmore,79.8031865042,0.2343017807,3.7488284911,11.3870665417,3.2802249297,1.5463917526
E36006807,Earlsdon,91.9186366135,1.0995052226,0.3848268279,2.6388125344,2.9686641012,0.9895547004
E36006808,Foleshill,60.6741573034,0.2808988764,4.2134831461,19.2883895131,13.670411985,1.872659176
E36006809,Henley,63.9344262295,1.0928961749,9.3392945852,16.9895678092,6.4580228515,2.1857923497
E36006810,Holbrook,76.5201685731,0.1806140879,4.9969897652,11.9807344973,4.8765803733,1.4449127032
E36006811,Longford,70.8721886999,0.2742731761,7.2956664838,13.6039495337,6.4728469556,1.4810751509
E36006812,Lower Stoke,81.8545697131,0.266844563,3.4022681788,8.3388925951,4.2695130087,1.8679119413
E36006813,Radford,67.0918367347,0.1275510204,9.056122449,14.8596938776,6.9515306122,1.9132653061
E36006814,Sherbourne,85.2195423624,1.9789734075,1.4223871367,5.3184910328,4.8237476809,1.2368583797
E36006815,St Michael's,50.9072580645,0.5040322581,6.6532258065,31.3508064516,8.5685483871,2.0161290323
E36006816,Upper Stoke,76.4742014742,0.1842751843,6.3882063882,10.1965601966,5.2211302211,1.5356265356
E36006817,Wainbody,95.421686747,0.3012048193,0.5421686747,1.6265060241,1.0240963855,1.0843373494
E36006818,Westwood,67.4026728646,0.4067402673,7.8442765834,18.6519465427,3.0214991284,2.6728646136
E36006819,Whoberley,89.4294294294,0.2402402402,1.2612612613,2.4024024024,5.1651651652,1.5015015015
E36006820,Woodlands,86.7865168539,0,3.3707865169,5.7078651685,2.4269662921,1.7078651685
E36006821,Wyken,82.8845002992,0.7181328546,2.5733093956,8.6774386595,3.2914422501,1.855176541
