code,name,Up to 0.5 persons per bedroom,Over 0.5 and up to 1.0 persons per bedroom,Over 1.0 and up to 1.5 persons per bedroom,Over 1.5 persons per bedroom
E36006804,Bablake,27.8806426932,52.3794950268,13.909716909,5.8301453711
E36006805,Binley and Willenhall,23.7543765149,53.3261513601,13.0622138433,9.8572582817
E36006806,Cheylesmore,31.4915585322,50.8022882657,12.3482628715,5.3578903307
E36006807,Earlsdon,36.2218370884,48.8262171104,11.2494091697,3.7025366315
E36006808,Foleshill,21.1959654179,38.4582132565,17.204610951,23.1412103746
E36006809,Henley,24.0488060876,50.0262398321,14.3007084755,11.6242456048
E36006810,Holbrook,22.4197679675,50.4896790719,16.9504294109,10.1401235498
E36006811,Longford,25.5501068779,49.3147240035,14.4348044763,10.7003646423
E36006812,Lower Stoke,26.2824920919,47.9851464723,15.6099573649,10.122404071
E36006813,Radford,27.1212509613,47.2442963343,15.1243270956,10.5101256088
E36006814,Sherbourne,26.7928150281,53.0508706979,12.7108185932,7.4454956808
E36006815,St Michael's,24.3371541044,47.8638416117,12.4580294084,15.3409748755
E36006816,Upper Stoke,25.5927937475,47.5692144655,16.4657570539,10.3722347331
E36006817,Wainbody,33.2907075874,49.0196078431,13.2566069906,4.4330775789
E36006818,Westwood,25.9054054054,53.972972973,12.8378378378,7.2837837838
E36006819,Whoberley,30.7594038325,51.9517388219,11.965933286,5.3229240596
E36006820,Woodlands,28.6960021465,54.7222967534,11.1081298632,5.4735712369
E36006821,Wyken,23.6587510994,54.3389035473,14.907651715,7.0946936382
