picid,title,author,date,lat,lon,scenicness,thumbnail
5138,"Stoke, Coventry",David Stowell,2005-04-22,52.406922,-1.470763,1.70,http://s2.geograph.org.uk/photos/00/51/005138_50f7676d_120x120.jpg
5517,Pillar Box at the junction of Beake Avenue and Rylston Avenue,Dave and Vicky,2005-04-24,52.439329,-1.523186,1.55,http://s1.geograph.org.uk/photos/00/55/005517_3396f936_120x120.jpg
5520,Looking down Beake Avenue from the junction with Rylston Avenue,Dave and Vicky,2005-04-24,52.437259,-1.522473,1.46,http://s0.geograph.org.uk/photos/00/55/005520_31483887_120x120.jpg
18266,Ball Hill,Kevin Croucher,2005-06-13,52.409671,-1.482491,1.27,http://s2.geograph.org.uk/photos/01/82/018266_aa536834_120x120.jpg
18271,"St Michael's Church, Stoke",Kevin Croucher,2005-06-13,52.411886,-1.475114,3.71,http://s3.geograph.org.uk/photos/01/82/018271_d9855482_120x120.jpg
18275,Rose and Crown,Kevin Croucher,2005-06-13,52.411078,-1.475417,2.19,http://s3.geograph.org.uk/photos/01/82/018275_f5f4ad4f_120x120.jpg
18276,Ansty Road,Kevin Croucher,2005-06-13,52.414114,-1.470677,2.57,http://s0.geograph.org.uk/photos/01/82/018276_595ca727_120x120.jpg
18278,The Walsgrave,Kevin Croucher,2005-06-13,52.413936,-1.47112,2.44,http://s2.geograph.org.uk/photos/01/82/018278_e343f36e_120x120.jpg
18354,"St Mary Magdalene, Wyken",Kevin Croucher,2005-06-13,52.423605,-1.462328,3.96,http://s2.geograph.org.uk/photos/01/83/018354_a217d6a8_120x120.jpg
18358,Wyken Croft Nature Park,Kevin Croucher,2005-06-13,52.421279,-1.464709,3.77,http://s2.geograph.org.uk/photos/01/83/018358_5d835476_120x120.jpg
18361,Henley College,Kevin Croucher,2005-06-13,52.432535,-1.468838,1.05,http://s1.geograph.org.uk/photos/01/83/018361_4ce22f7f_120x120.jpg
18363,Courthouse Green,Kevin Croucher,2005-06-13,52.428462,-1.483006,1.27,http://s3.geograph.org.uk/photos/01/83/018363_c78c091a_120x120.jpg
18365,Stoke Heath,Kevin Croucher,2005-06-13,52.423168,-1.485274,4.17,http://s1.geograph.org.uk/photos/01/83/018365_74f23a18_120x120.jpg
18368,Red Lane Ordnance Works,Kevin Croucher,2005-06-13,52.420053,-1.492515,1.59,http://s0.geograph.org.uk/photos/01/83/018368_d5ffc924_120x120.jpg
18369,Inside the Ordnance Works,Kevin Croucher,2005-06-13,52.418705,-1.492677,1.07,http://s1.geograph.org.uk/photos/01/83/018369_39a0957b_120x120.jpg
18374,Highfield Road Stadium,Kevin Croucher,2005-06-13,52.411325,-1.490704,0.68,http://s2.geograph.org.uk/photos/01/83/018374_f2355a06_120x120.jpg
18381,Gosford Green,Kevin Croucher,2005-06-13,52.40881,-1.491321,4.08,http://s1.geograph.org.uk/photos/01/83/018381_70ce3925_120x120.jpg
18386,The Biggin Hall,Kevin Croucher,2005-06-13,52.407014,-1.471203,2.55,http://s2.geograph.org.uk/photos/01/83/018386_7197978d_120x120.jpg
