code,name,Living in a couple: Married or in a registered same-sex civil partnership,Living in a couple: Cohabiting,Not living in a couple: Single (never married or never registered a same-sex civil partnership),Not living in a couple: Married or in a registered same-sex civil partnership,Not living in a couple: Separated (but still legally married or still legally in a same-sex civil partnership),Not living in a couple: Divorced or formerly in a same-sex civil partnership which is now legally dissolved,Not living in a couple: Widowed or surviving partner from a same-sex civil partnership
E36006804,Bablake,39.6,10.5,29.8,1.6,2.7,8.5,7.3
E36006805,Binley and Willenhall,50.5,9.4,23.1,1.1,1.9,5.9,8.1
E36006806,Cheylesmore,43.4,10.3,27.7,1.6,2,6.9,8.1
E36006807,Earlsdon,49.9,9.1,26.7,1.2,1.3,4.9,6.9
E36006808,Foleshill,39.6,7.2,33.1,4.7,3.8,6.4,5.2
E36006809,Henley,41.5,11.2,27.3,1.6,2.9,8.1,7.3
E36006810,Holbrook,43.7,11.1,28.3,1.6,2.2,6.3,6.8
E36006811,Longford,38.6,12,29.6,1.7,2.9,8.3,7
E36006812,Lower Stoke,39.8,12,32,1.8,2.4,6.3,5.8
E36006813,Radford,35.3,13.1,33.7,1.9,2.6,7.3,6.2
E36006814,Sherbourne,39.8,11.4,32.1,1.5,2.3,7.3,5.6
E36006815,St Michael's,22.9,9.4,53,3.2,2.4,5.4,3.7
E36006816,Upper Stoke,38.5,11.2,32.7,2,2.6,6.8,6
E36006817,Wainbody,56.9,5.7,22.7,1.7,1.2,4.2,7.6
E36006818,Westwood,39.9,11.4,32,1,2.1,7,6.7
E36006819,Whoberley,36,12.4,36.3,1.1,1.8,6.5,5.9
E36006820,Woodlands,47.9,11.6,24,1,1.8,6.9,6.9
E36006821,Wyken,48.2,10.8,24.9,1.5,2,6.5,6
