code,name,One person household: Aged 65 and over,One person household: Other,One family only: All aged 65 and over,One family only: Married or same-sex civil partnership couple: No children,One family only: Married or same-sex civil partnership couple: Dependent children,One family only: Married or same-sex civil partnership couple: All children non-dependent,One family only: Cohabiting couple: No children,One family only: Cohabiting couple: Dependent children,One family only: Cohabiting couple: All children non-dependent,One family only: Lone parent: Dependent children,One family only: Lone parent: All children non-dependent,Other household types: With dependent children,Other household types: All full-time students,Other household types: All aged 65 and over,Other household types: Other
E36006804,Bablake,16.5,12.7,10.6,12.2,16.4,7.3,3.7,3.8,0.4,7.4,3.4,2.4,0.2,0.2,2.9
E36006805,Binley and Willenhall,13.1,22.1,7.8,9.4,10.9,5.5,3.5,3.9,0.4,12.2,4.3,2.8,0.3,0.3,3.4
E36006806,Cheylesmore,16.4,19.5,7.9,10.7,12.9,5.7,4.8,2.9,0.3,7.3,3.8,2.1,1.2,0.3,4.3
E36006807,Earlsdon,13.4,16.1,10,12.7,17.2,6.8,4.6,2.6,0.3,3.9,2.4,2.6,2.3,0.2,4.9
E36006808,Foleshill,7.8,20.4,2.7,5.4,20.1,4.1,2.4,3.2,0.3,13.4,4.5,7.2,1.3,0.1,7.1
E36006809,Henley,13.4,17.4,7.6,9.7,12.8,5.7,3.6,4.6,0.5,13,4.6,3.6,0.2,0.2,2.9
E36006810,Holbrook,12,13.7,6.9,9.3,15.9,7.2,3.9,4.7,0.6,12.4,4.8,3.8,0.2,0.3,4.3
E36006811,Longford,12.1,21.5,5.9,8.3,12.5,5.1,4.1,4.8,0.7,13.2,4.2,3.5,0.2,0.3,3.6
E36006812,Lower Stoke,10,17.4,5.7,9.3,15.4,5.4,4.4,4.8,0.6,10.6,4.2,3.9,1.9,0.3,6.1
E36006813,Radford,11.2,21.1,4.3,7.3,13.7,4.6,5,4.8,0.6,11.9,4.2,3.4,1.7,0.2,6
E36006814,Sherbourne,11.2,24.2,6.4,9.2,14.3,5.2,5.1,3.7,0.6,7.8,3.8,2,1.8,0.2,4.4
E36006815,St Michael's,6.9,30.2,1.8,4.6,10,2.2,4.5,2.3,0.3,9.1,3.1,3.7,13,0,8.3
E36006816,Upper Stoke,10.8,20.2,5.5,8.2,13.5,5.6,4.3,4.4,0.5,10.3,4.3,4,2.5,0.4,5.4
E36006817,Wainbody,14.6,9,13.4,13.1,20.1,8.3,2.5,2.3,0.2,4.3,3.4,3.3,1.6,0.4,3.4
E36006818,Westwood,12.4,17.1,5.8,10.1,13.7,6.3,4.4,4.5,0.5,10.7,4.3,2.9,3,0.2,3.9
E36006819,Whoberley,11.5,21.3,7.6,9.7,11.4,4.1,6.6,3.4,0.4,6.6,3.8,1.9,5.3,0.2,6.2
E36006820,Woodlands,12.3,19.4,12,11.9,12.9,6.1,5,3.8,0.4,7.9,3.7,1.7,0.2,0.3,2.4
E36006821,Wyken,11.7,16.1,7.7,11.5,17.5,7.7,3.9,4.6,0.5,8.1,3.8,2.8,0.4,0.2,3.5
