code,name,No adults in employment in household: With dependent children,No adults in employment in household: No dependent children,Dependent children in household: All ages,Dependent children in household: Age 0 to 4,One person in household with a long-term health problem or disability: With dependent children,One person in household with a long-term health problem or disability: No dependent children
E36006804,Bablake,2.9,33.5,30,10.8,4.6,23.9
E36006805,Binley and Willenhall,7.9,35.2,29.9,13.9,5.6,24.8
E36006806,Cheylesmore,3.6,34,25.3,11.2,3.7,23.9
E36006807,Earlsdon,1.3,32.4,26.4,8.4,3.7,18.8
E36006808,Foleshill,14.3,27.9,43.9,24.2,9.3,20.2
E36006809,Henley,9,32.1,34.1,16.2,5.8,23.9
E36006810,Holbrook,7.2,27.7,36.8,15.7,6.9,21.7
E36006811,Longford,8.3,30.3,34,15.8,6.5,23.4
E36006812,Lower Stoke,5.9,25.3,34.7,15.2,6.2,18.8
E36006813,Radford,7.6,27.5,33.8,16.6,6,20.7
E36006814,Sherbourne,3.5,29.8,27.9,12.3,4.2,19.8
E36006815,St Michael's,8.8,36.8,25.2,13.8,4.7,16.8
E36006816,Upper Stoke,6.5,29,32.3,14.9,5.4,20.8
E36006817,Wainbody,1.7,34.2,30,8.5,4.6,20.2
E36006818,Westwood,6.3,30.4,31.8,13.4,5.8,21.8
E36006819,Whoberley,2.8,30.6,23.3,10,3.6,20.1
E36006820,Woodlands,4.1,34,26.3,10.8,4.1,21.7
E36006821,Wyken,3.4,27.7,33,13.5,4.8,20.5
