code,name,Owned: Owned outright,Owned: Owned with a mortgage or loan,Shared ownership (part owned and part rented),Social rented: Rented from council (Local Authority),Social rented: Other,Private rented: Private landlord or letting agency,Private rented: Other,Living rent free
E36006804,Bablake,42,37.8,0.2,2.7,5.3,9.9,1.3,0.9
E36006805,Binley and Willenhall,26.8,26.5,0.4,12.7,22.2,9.2,1,1.1
E36006806,Cheylesmore,35.1,33.6,0.3,3.2,8,17.4,1.4,1.1
E36006807,Earlsdon,42.1,36.8,0.5,0.4,2.7,14.9,1.9,0.8
E36006808,Foleshill,20.1,18.7,0.6,4.7,22,29.8,2,2.2
E36006809,Henley,24.7,26.6,1.2,12.1,19.2,14,0.9,1.2
E36006810,Holbrook,30.2,35.8,0.5,4.4,8.7,17.6,1.8,1.1
E36006811,Longford,26.1,30.5,0.5,7.9,14.4,18,1.5,1.1
E36006812,Lower Stoke,27,35.2,0.8,5.1,9.6,19.6,1.4,1.3
E36006813,Radford,21.7,30.4,0.5,7.4,11,25.6,1.9,1.4
E36006814,Sherbourne,30.2,33.8,0.9,3.3,8.4,20.8,1.9,0.9
E36006815,St Michael's,11.9,12.3,1,5.4,21.7,43.3,2.6,1.9
E36006816,Upper Stoke,26.4,32,0.3,5.3,8.6,24.4,1.8,1.1
E36006817,Wainbody,49.2,38,0.3,0.7,2,7.9,1,0.8
E36006818,Westwood,24.8,34.8,0.4,8,15.9,13.4,1.5,1.3
E36006819,Whoberley,32.5,35.1,0.4,1.6,3.5,23.9,2.1,1
E36006820,Woodlands,36.7,34.7,0.9,5.7,10.6,9.3,0.8,1.2
E36006821,Wyken,33.8,38.6,0.6,3.5,7.3,13.8,1.6,0.9
