code,name,No qualifications,Highest level of qualification: Level 1 qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications,Schoolchildren and full-time students: Age 16 to 17,Schoolchildren and full-time students: Age 18 and over,Full-time students: Age 18 to 74: Economically active: In employment,Full-time students: Age 18 to 74: Economically active: Unemployed,Full-time students: Age 18 to 74: Economically inactive
E36006804,Bablake,24.1,14,15,6.6,12.4,23.3,4.6,3.1,3.6,1.6,0.2,1.8
E36006805,Binley and Willenhall,31.8,16.2,15,4.8,10.4,15.4,6.4,2.6,4.3,1.8,0.6,1.9
E36006806,Cheylesmore,23.7,12.1,14,4.8,11.5,27.5,6.4,2,5.8,1.9,0.5,3.4
E36006807,Earlsdon,13.2,8.5,12.8,4.1,13.4,43.9,4.1,2.8,9.6,2.5,0.8,6.3
E36006808,Foleshill,33.8,14.4,11.7,1.5,8.5,16.2,13.9,3.5,9.6,2.7,1.4,5.5
E36006809,Henley,31.6,15,14.6,4.6,9.6,18.3,6.4,3,4.6,1.9,0.5,2.1
E36006810,Holbrook,29.1,15.5,15.8,4,10.9,16.5,8.3,3.1,4.7,1.8,0.6,2.2
E36006811,Longford,32,16.1,15.1,3.8,10.9,14.5,7.5,3,4.2,1.5,0.6,2.1
E36006812,Lower Stoke,23.3,14.1,14.3,4,12.1,24.3,8,3,8.7,3.2,0.9,4.6
E36006813,Radford,27.6,14.6,14.6,3.1,11.4,19.8,9,2.7,8.3,2.4,1,4.9
E36006814,Sherbourne,19.7,14,15.2,4.6,16,24.5,6,2.2,10.6,3.4,1.1,6
E36006815,St Michael's,17.6,9.6,10.6,1.2,27.3,21.4,12.3,1.6,44.9,9.6,5.3,29.9
E36006816,Upper Stoke,26.9,14.4,14.4,3.3,11.6,19.5,9.8,2.6,9.5,3,1.4,5
E36006817,Wainbody,11.5,7.9,12.4,3.8,25.8,32.7,5.8,2.8,27.8,3.8,1.2,22.8
E36006818,Westwood,22.7,13.6,14.5,4,16.1,23.9,5.4,2.7,13.4,2.7,0.7,9.9
E36006819,Whoberley,18.2,11.2,13.6,4.5,17.4,30.2,5,1.9,15.2,3.5,0.9,10.8
E36006820,Woodlands,22.4,13.9,16.1,6.2,13.1,23.5,4.7,2.4,3.4,1.5,0.4,1.5
E36006821,Wyken,22.3,15,15.5,5.5,12.4,23.2,6.1,2.9,3.9,1.7,0.3,1.9
