code,name,Economically active: Employee: Part-time,Economically active: Employee: Full-time,Economically active: Self-employed,Economically active: Unemployed,Economically active: Full-time student,Economically inactive: Retired,Economically inactive: Student (including full-time students),Economically inactive: Looking after home or family,Economically inactive: Long-term sick or disabled,Economically inactive: Other,Unemployed: Age 16 to 24,Unemployed: Age 50 to 74,Unemployed: Never worked,Long-term unemployed
E36006804,Bablake,24.8,31.6,4.8,2.8,3.5,18.3,4.4,5.1,3.2,1.5,0.7,0.4,0.5,1.1
E36006805,Binley and Willenhall,21.8,27.4,2.3,5.5,3.7,16.9,4.8,7.9,6.7,2.9,1.9,0.5,1.4,2.4
E36006806,Cheylesmore,19.8,33.9,3.8,3.4,3.5,17.8,5.3,5.7,4.4,2.3,0.9,0.5,0.5,1.5
E36006807,Earlsdon,20.6,34.4,5.7,1.9,4.4,16.7,8.3,4.3,2.3,1.5,0.5,0.4,0.3,0.7
E36006808,Foleshill,15.4,17.7,2.2,7.9,4.4,8.1,8.9,20.3,7.5,7.7,2.1,0.6,2.9,2.9
E36006809,Henley,20.9,28.6,2.6,5.1,3.8,15.5,4.9,9.4,6.4,2.8,1.3,0.5,1.2,2.3
E36006810,Holbrook,22.2,31,2.7,5.1,3.6,13.6,5.1,8.6,5.3,2.7,1.3,0.5,1.1,2.1
E36006811,Longford,22.2,29.5,2.5,5.4,3.5,14.1,4.5,9.2,5.8,3.3,1.8,0.8,1.3,2.3
E36006812,Lower Stoke,21.6,32.8,3.1,4.1,5.5,11.5,7.2,7.1,4.3,2.8,1,0.4,1,1.6
E36006813,Radford,19.9,31.7,2.9,5.1,4.2,10.5,6.8,10,5.3,3.7,1.5,0.6,1,2.4
E36006814,Sherbourne,20.3,34.9,3.7,3.6,6.3,12.4,7.2,5.8,3.2,2.5,1.1,0.4,0.6,1.6
E36006815,St Michael's,9.9,16.1,1.6,4.6,15.9,4.9,29.7,9.2,4.2,3.9,1.3,0.5,1.6,1.9
E36006816,Upper Stoke,20.3,31.6,2.9,5.1,4.5,12.5,6.6,8.5,4.6,3.5,1.3,0.6,1.1,2.2
E36006817,Wainbody,17.4,22.5,4.2,1.6,6.5,15,26.3,3.7,1.8,1.1,0.3,0.4,0.2,0.5
E36006818,Westwood,19.3,30.5,4,4,4.6,12.7,11.4,7.1,4.2,2.3,1.2,0.4,0.8,1.7
E36006819,Whoberley,18.8,35,3.2,3,5.4,13.3,12.4,4.2,3.2,1.5,0.9,0.4,0.4,1.2
E36006820,Woodlands,22.2,33.6,3.5,3.3,3,20.1,3.6,5.4,3.5,1.7,1.1,0.5,0.5,1.4
E36006821,Wyken,24.6,35.6,3.1,3.2,3.8,14.7,3.9,6,3.4,1.7,0.8,0.6,0.5,1.5
