code,name,Part-time: 15 hours or less worked,Part-time: 16 to 30 hours worked,Full-time: 31 to 48 hours worked,Full-time: 49 or more hours worked,Males: Part-time: 15 hours or less worked,Males: Part-time: 16 to 30 hours worked,Males: Full-time: 31 to 48 hours worked,Males: Full-time: 49 or more hours worked,Females: Part-time: 15 hours or less worked,Females: Part-time: 16 to 30 hours worked,Females: Full-time: 31 to 48 hours worked,Females: Full-time: 49 or more hours worked
E36006804,Bablake,9,20.9,59.7,10.4,2.9,4.4,36.5,7.7,6.2,16.5,23.2,2.7
E36006805,Binley and Willenhall,7.6,21.7,62.5,8.2,2.2,5,38.7,6.4,5.5,16.7,23.8,1.8
E36006806,Cheylesmore,7.9,18.3,64.6,9.3,2.9,4.7,39,6.9,5,13.6,25.6,2.3
E36006807,Earlsdon,11.1,18,57.8,13.2,4.3,4.9,33.8,9.7,6.7,13.1,24,3.5
E36006808,Foleshill,11.3,24.9,57.8,6,4.8,11.8,38.9,4.8,6.5,13.1,18.9,1.2
E36006809,Henley,7.9,21.8,62.3,8,2.7,5.2,37.2,6,5.2,16.6,25.1,1.9
E36006810,Holbrook,8.2,21.5,62.7,7.6,3,5.4,37.3,6,5.2,16,25.5,1.6
E36006811,Longford,,,,,,,,,,,,
E36006812,Lower Stoke,,,,,,,,,,,,
E36006813,Radford,8,20.3,63.8,7.9,2.7,5.9,37.6,6,5.3,14.4,26.1,1.9
E36006814,Sherbourne,9.6,18.3,62.6,9.5,3.3,4.8,37.5,6.9,6.3,13.5,25.1,2.5
E36006815,St Michael's,21.1,23.2,50,5.7,10.2,11.4,31.8,4.2,10.9,11.9,18.2,1.5
E36006816,Upper Stoke,8.9,20.1,63.7,7.3,3.5,6.3,38.3,5.8,5.4,13.8,25.4,1.5
E36006817,Wainbody,14.5,19,55.6,11,5.4,4.6,33.4,8.7,9.1,14.3,22.2,2.3
E36006818,Westwood,10,18.7,60,11.4,3.6,4.4,35.1,8.5,6.4,14.3,24.9,2.9
E36006819,Whoberley,9.6,17.9,63.1,9.4,4.2,4.7,36.7,6.6,5.4,13.2,26.4,2.8
E36006820,Woodlands,9.2,18.5,62.6,9.7,3,4.2,36.8,7.4,6.2,14.2,25.8,2.3
E36006821,Wyken,7.7,19.8,63.3,9.1,2.4,4.2,37.8,7.1,5.3,15.6,25.5,2
