code,name,"Managers, directors and senior officials",Professional occupations,Associate professional and technical occupations,Administrative and secretarial occupations,Skilled trades occupations,"Caring, leisure and other service occupations",Sales and customer service occupations,"Process, plant and machine operatives",Elementary occupations
E36006804,Bablake,9.2,16.4,12.6,13.2,13.2,9.7,7.9,7.8,10
E36006805,Binley and Willenhall,5.2,11.4,8.4,12.4,11.3,12,10.3,9.5,19.7
E36006806,Cheylesmore,8.1,19.3,13,12.2,10.4,9.3,8.9,7.6,11.1
E36006807,Earlsdon,11.8,30.7,14.3,11,7.7,6.3,6.7,4.8,6.6
E36006808,Foleshill,5.4,8.9,7.1,8.1,8.5,10.1,12.3,14.7,25.1
E36006809,Henley,6.3,15.7,9.2,10.4,11,11.6,8,9.4,18.5
E36006810,Holbrook,6.5,11,9.2,11.7,10.8,11,10.8,11.3,17.6
E36006811,Longford,6.4,9.8,9.3,10.8,11.4,11.2,10.7,11.6,18.9
E36006812,Lower Stoke,6.8,16,10.3,11.2,10.1,10.4,9.1,8.5,17.5
E36006813,Radford,7.1,12.2,9.2,11.1,9.8,10.5,10.8,10.4,18.9
E36006814,Sherbourne,7.9,16.9,12.2,12.6,11.4,9.8,8.9,8,12.3
E36006815,St Michael's,5.2,11.8,9.4,8.2,7.3,9.7,16,7,25.5
E36006816,Upper Stoke,5.4,11.8,8.7,11,10.5,10.2,10.3,10.9,21.1
E36006817,Wainbody,11.9,25.7,12.8,14,7.5,7.6,7.5,4.4,8.6
E36006818,Westwood,9.1,17.6,11.1,11.9,10.2,9.5,8.7,8.1,13.7
E36006819,Whoberley,7.6,21.6,12.9,13,10.2,8.2,9,6.5,11
E36006820,Woodlands,8.9,16.2,12.9,15,10.8,9.8,8.3,7.2,11.1
E36006821,Wyken,7.4,17.3,11.1,13.2,10.7,9.6,8.8,8.6,13.3
