code,name,"1. Managers, directors and senior officials",2. Professional occupations,3. Associate professional and technical occupations,4. Administrative and secretarial occupations,5. Skilled trades occupations,"6. Caring, leisure and other service occupations",7. Sales and customer service occupations,"8. Process, plant and machine operatives",9. Elementary occupations
E36006804,Bablake,11.4,14.2,12.8,5.1,23.8,3,5.2,13.8,10.7
E36006805,Binley and Willenhall,6.3,11.2,9.7,6.2,19.3,4.1,6.3,16.1,20.9
E36006806,Cheylesmore,9.5,19.6,14.1,5.6,17.2,3.1,6.2,12.5,12.2
E36006807,Earlsdon,15.3,28.6,15.4,5,13,2.4,5.5,7.9,7
E36006808,Foleshill,6,8.2,7.6,4.7,12.5,3.8,9.8,21.1,26.2
E36006809,Henley,7.5,13.6,10.4,4.1,18.9,4.7,4.8,16.3,19.7
E36006810,Holbrook,8.2,9.9,9.3,4.7,18.9,3.4,7.6,18.4,19.6
E36006811,Longford,7.8,8.3,9.3,4.8,19.3,3.7,6.9,19.5,20.4
E36006812,Lower Stoke,7.6,14.6,10.3,5.6,17.1,3.8,7.3,14.3,19.4
E36006813,Radford,7.7,11.6,10.1,5.6,16.3,3.7,7.7,17.3,20
E36006814,Sherbourne,9.3,15.2,13,5.7,19.8,3,6.3,13.7,14
E36006815,St Michael's,6.2,11.9,9.8,5.1,11.1,4.2,14.1,10.9,26.7
E36006816,Upper Stoke,6.5,9.4,9.4,5.6,17.3,3.5,7.5,17.7,23
E36006817,Wainbody,16,26.3,13.7,5.8,13,3.1,5.5,7.6,8.9
E36006818,Westwood,11.5,18.2,11.1,4.5,18.1,3.2,5.7,14,13.7
E36006819,Whoberley,8.5,20.9,13.7,6.2,17.6,3.4,6.2,11.3,12.2
E36006820,Woodlands,10.8,16.3,14.3,5.9,19.3,3.3,5.6,12.8,11.6
E36006821,Wyken,9.6,15.9,11.5,5.6,19,3,6.2,15.1,14.3
