code,name,"1. Higher managerial, administrative and professional occupations",1.1 Large employers and higher managerial and administrative occupations,1.2 Higher professional occupations,"2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed,L14.1 Never worked,L14.2 Long-term unemployed,Not classified,L15 Full-time students
E36006804,Bablake,12.2,3.1,9.1,17.6,7.4,13.3,13.3,12.6,12.7,3.2,2,1.2,7.7,7.7
E36006805,Binley and Willenhall,7.2,1.2,6,12.5,7,8.4,12.4,16.2,20.4,8.5,4.7,3.8,7.4,7.4
E36006806,Cheylesmore,14.7,2.2,12.5,17.9,7.7,10,10.2,12,13.6,4.6,2.8,1.8,9.3,9.3
E36006807,Earlsdon,22,4,18,23.2,6.9,10.4,6.7,6.8,6.3,2.4,1.4,1,15.4,15.4
E36006808,Foleshill,4.1,0.6,3.5,8.1,5.6,10.8,8.1,16,19.8,12.3,7.8,4.5,15.2,15.2
E36006809,Henley,8.7,1.7,7.1,14.1,6,9.2,11.5,16.2,18.8,6.9,4.1,2.8,8.4,8.4
E36006810,Holbrook,6.9,1.5,5.4,12.8,6.7,10,11.7,17.1,20.4,5.8,3.6,2.2,8.6,8.6
E36006811,Longford,5.6,1.2,4.3,11.8,6.7,10.3,11.4,17.9,20.7,7.8,4.4,3.4,7.8,7.8
E36006812,Lower Stoke,9.4,1.4,8,14.4,7.1,9,10,13.6,17.8,5.6,3.1,2.5,13.1,13.1
E36006813,Radford,7.5,1.1,6.4,12.3,6.9,9.2,10.2,16,17.7,6.9,3.9,3,13.2,13.2
E36006814,Sherbourne,10.1,1.9,8.2,16.3,7.2,10.7,10.6,11.8,14.4,4.3,2.2,2.1,14.6,14.6
E36006815,St Michael's,4.2,0.4,3.8,6.5,3.2,4.8,4.9,8.1,11,6.6,4.3,2.3,50.6,50.6
E36006816,Upper Stoke,5.9,1,4.8,11.1,6.7,9.4,10.1,15.3,19.5,6.4,3.5,3,15.4,15.4
E36006817,Wainbody,16.5,2.8,13.6,15.8,4.7,9.3,5.6,5.5,5.4,2,1.2,0.8,35.3,35.3
E36006818,Westwood,12,2.3,9.7,14.3,5,8.8,10.3,11.6,13.4,5.2,2.8,2.4,19.4,19.4
E36006819,Whoberley,11.9,2.1,9.8,16.8,7.3,8.6,9.9,10.6,11.1,3.7,2,1.7,20,20
E36006820,Woodlands,14.1,3.1,11,17.9,8.5,9.5,13.2,12,13.5,4.7,2.4,2.3,6.5,6.5
E36006821,Wyken,12.2,2.2,10,16.6,8,9.4,12.1,13.7,16.2,4.2,2,2.2,7.5,7.5
