code,name,I have attended cultural events at least three times in the last 12 months.,I have not attended cultural events at least three times in the last 12 months.
E36006804,Bablake ,79.84,20.16
E36006805,Binley and Willenhall ,44.55,55.45
E36006806,Cheylesmore,71.03,28.97
E36006807,Earlsdon,77.33,22.67
E36006808,Foleshill,42.86,57.14
E36006809,Henley,68.33,31.67
E36006810,Holbrook,60.58,39.42
E36006811,Longford,68.42,31.58
E36006812,Lower Stoke,53.41,46.59
E36006813,Radford,57.52,42.48
E36006814,Sherbourne,80,20
E36006815,St Michael's,73.33,26.67
E36006816,Upper Stoke,66.23,33.77
E36006817,Wainbody,80.17,19.83
E36006818,Westwood,64.62,35.38
E36006819,Whoberley,75.68,24.32
E36006820,Woodlands,59.29,40.71
E36006821,Wyken,74.04,25.96
