code,name,Very good,Good,Fair,Bad,Very bad,Prefer not to say
E36006804,Bablake ,33.77,44.16,18.18,3.25,0.65,0
E36006805,Binley and Willenhall ,20,53.08,11.54,12.31,3.08,0
E36006806,Cheylesmore,30.67,48,12.67,6.67,1.33,0.67
E36006807,Earlsdon,40,33.33,21.11,3.33,1.11,1.11
E36006808,Foleshill,14.47,60.53,15.79,7.89,0.66,0.66
E36006809,Henley,35.71,42.86,16.88,4.55,0,0
E36006810,Holbrook,25.32,46.84,21.52,5.06,1.27,0
E36006811,Longford,25.31,44.44,19.75,8.02,2.47,0
E36006812,Lower Stoke,15.09,59.43,16.04,8.49,0.94,0
E36006813,Radford,24.65,46.48,16.2,10.56,2.11,0
E36006814,Sherbourne,44.72,34.78,15.53,4.97,0,0
E36006815,St Michael's,25.86,60.34,6.9,6.9,0,0
E36006816,Upper Stoke,32.37,43.93,17.34,4.62,1.73,0
E36006817,Wainbody,32.61,50.72,13.04,3.62,0,0
E36006818,Westwood,32.2,49.72,11.3,4.52,2.26,0
E36006819,Whoberley,21.23,59.59,14.38,2.74,2.05,0
E36006820,Woodlands,12.86,62.86,17.86,6.43,0,0
E36006821,Wyken,27.42,45.97,20.16,5.65,0.81,0
