code,name,Almost all the time,Quite often,Only sometimes,Never,Prefer not to say
E36006804,Bablake ,5,5,33,55,2
E36006805,Binley and Willenhall ,6,8,38,48,0
E36006806,Cheylesmore,5,7,19,67,2
E36006807,Earlsdon,2,4,22,67,4
E36006808,Foleshill,5,11,30,53,1
E36006809,Henley,5,10,42,40,3
E36006810,Holbrook,6,3,21,70,0
E36006811,Longford,8,15,29,47,1
E36006812,Lower Stoke,1,17,38,44,0
E36006813,Radford,6,8,32,51,2
E36006814,Sherbourne,6,4,19,70,2
E36006815,'St Michael''s',8,14,34,41,4
E36006816,Upper Stoke,3,8,29,58,2
E36006817,Wainbody,1,5,24,69,1
E36006818,Westwood,5,8,31,55,2
E36006819,Whoberley,3,12,28,56,1
E36006820,Woodlands,2,6,30,61,1
E36006821,Wyken,10,8,40,43,0
