code,name,Improved ,Stayed the same ,Got worse,Don't know
E36006804,Bablake ,5.19480519,58.44155844,25.32467532,11.03896104
E36006805,Binley and Willenhall ,14.61538462,60,13.07692308,12.30769231
E36006806,Cheylesmore,14,48.66666667,18.66666667,18.66666667
E36006807,Earlsdon,6.66666667,53.33333333,15.55555556,24.44444444
E36006808,Foleshill,9.86842105,45.39473684,34.86842105,9.86842105
E36006809,Henley,20.12987013,54.54545455,12.33766234,12.98701299
E36006810,Holbrook,6.32911392,68.98734177,20.88607595,3.79746835
E36006811,Longford,7.40740741,65.43209877,12.96296296,14.19753086
E36006812,Lower Stoke,11.32075472,52.83018868,22.64150943,13.20754717
E36006813,Radford,9.85915493,57.04225352,14.78873239,18.30985915
E36006814,Sherbourne,9.9378882,57.14285714,13.66459627,19.25465839
E36006815,St Michael's,18.10344828,31.89655172,20.68965517,29.31034483
E36006816,Upper Stoke,6.93641618,51.44508671,23.12138728,18.49710983
E36006817,Wainbody,13.04347826,68.11594203,13.76811594,5.07246377
E36006818,Westwood,10.16949153,61.5819209,15.81920904,12.42937853
E36006819,Whoberley,11.64383562,60.2739726,12.32876712,15.75342466
E36006820,Woodlands,8.57142857,70.71428571,15,5.71428571
E36006821,Wyken,10.48387097,62.09677419,18.5483871,8.87096774
