code,name,Definitely agree,Tend to agree,Tend to disagree,Definitely disagree,Don't know
E36006804,Bablake ,7.79,26.62,25.97,29.87,9.74
E36006805,Binley and Willenhall ,4.62,33.85,40,17.69,3.85
E36006806,Cheylesmore,6,32.67,36.67,14,10.67
E36006807,Earlsdon,3.33,41.11,38.89,5.56,11.11
E36006808,Foleshill,5.92,38.82,42.76,9.21,3.29
E36006809,Henley,7.79,42.21,27.92,11.04,11.04
E36006810,Holbrook,10.13,31.65,34.18,17.72,6.33
E36006811,Longford,4.32,42.59,32.1,15.43,5.56
E36006812,Lower Stoke,1.89,56.6,32.08,2.83,6.6
E36006813,Radford,4.23,31.69,38.73,9.86,15.49
E36006814,Sherbourne,4.97,32.92,34.78,14.91,12.42
E36006815,St Michael's,6.03,23.28,45.69,13.79,11.21
E36006816,Upper Stoke,8.09,30.64,41.62,12.14,7.51
E36006817,Wainbody,6.52,34.06,44.93,10.14,4.35
E36006818,Westwood,2.82,36.72,32.77,19.21,8.47
E36006819,Whoberley,1.37,29.45,51.37,8.22,9.59
E36006820,Woodlands,1.43,27.14,45.71,15.71,10
E36006821,Wyken,4.03,29.84,37.9,23.39,4.84
