code,name,No dependent children in family,One dependent child in family aged 0 to 4,One dependent child in family aged 5 to 11,One dependent child in family aged 12 to 18,Two dependent children in family; youngest aged 0 to 4,Two dependent children in family; youngest aged 5 to 11,Two dependent children in family; youngest aged 12 to 18,Three or more dependent children in family; youngest aged 0 to 4,Three or more dependent children in family; youngest aged 5 to 11,Three or more dependent children in family; youngest aged 12 to 18
E36006804,Bablake,57.4444928167,5.9207662168,4.7235524597,8.7940792338,5.8119286025,6.791467131,4.1358293426,3.5045711798,2.3944275141,0.4788855028
E36006805,Binley and Willenhall,52.4754588135,9.5817328212,5.4630815194,8.7494664959,7.1702944942,5.76184379,2.9236022194,5.2496798976,2.1340162185,0.4908237303
E36006806,Cheylesmore,58.7939698492,8.6569209685,4.2485153038,7.7889447236,6.5555047967,5.9387848333,2.4211968936,3.037916857,2.2613065327,0.2969392417
E36006807,Earlsdon,60.6890042473,4.9787635677,3.350637093,8.6125530911,5.0023596036,7.0552147239,4.6012269939,2.5011798018,2.6663520529,0.5427088249
E36006808,Foleshill,36.1591335139,13.0597792127,5.8112893147,7.9358466986,10.2270360342,6.0404082483,2.9368881483,11.6225786295,5.4988544053,0.7081857946
E36006809,Henley,50.3437738732,9.4346829641,5.500381971,9.1291061879,7.5439266616,5.3666921314,2.845683728,6.3216195569,3.0175706646,0.4965622613
E36006810,Holbrook,50.2449979584,8.5749285423,5.9616169865,8.8811759902,7.2274397713,5.8595345039,3.7974683544,5.1857901184,3.5728868926,0.694160882
E36006811,Longford,48.2619550605,11.6381793739,5.569425773,9.0839254849,7.662761667,5.9535241022,3.8025734588,4.5707701171,3.0343768005,0.4225081621
E36006812,Lower Stoke,49.186910259,9.174864485,5.3202168239,9.5161614134,7.6490664525,6.9865488858,3.3125878338,5.3202168239,3.051596065,0.4818309576
E36006813,Radford,46.9864946583,11.9733924612,5.8052811933,8.546663979,8.324934489,5.6843378351,3.4065712558,5.4827655715,3.1042128603,0.6853456964
E36006814,Sherbourne,53.8950715421,9.0392913922,4.5877810584,8.6759027935,6.7681126505,6.5182829889,3.3613445378,4.3833749716,2.3620258914,0.4088121735
E36006815,St Michael's,44.6619217082,13.7264870361,6.5327910524,6.9395017794,8.6171835282,4.7280122013,2.3640061007,7.5495678699,4.3467208948,0.5338078292
E36006816,Upper Stoke,50.5079236083,10.7070296627,5.5058919139,8.9191385616,7.0296627387,6.7249085738,2.8646891508,4.8557496952,2.4786672085,0.4063388866
E36006817,Wainbody,60.203504805,3.9853024308,3.8157150933,8.7337478802,4.4375353307,7.801017524,4.4375353307,2.8547201809,3.1656302996,0.5652911249
E36006818,Westwood,52.1181262729,9.1853360489,5.4786150713,9.2260692464,5.967413442,6.3543788187,3.2382892057,4.7250509165,3.1568228106,0.549898167
E36006819,Whoberley,59.9262899263,8.4520884521,5.1105651106,7.4938574939,6.1670761671,5.0614250614,2.8501228501,2.5552825553,2.113022113,0.2702702703
E36006820,Woodlands,61.0677864427,7.8984203159,4.1591681664,8.0183963207,4.9390121976,5.5588882224,3.2393521296,3.0393921216,1.699660068,0.3799240152
E36006821,Wyken,53.8430006149,7.8294732527,4.9600327936,8.9977454396,7.3785611806,6.8866571019,3.3203525313,3.668784587,2.6029924165,0.512400082
