code,name,Main language is English (English or Welsh in Wales),Main language is not English (English or Welsh in Wales): Can speak English very well,Main language is not English (English or Welsh in Wales): Can speak English well,Main language is not English (English or Welsh in Wales): Cannot speak English well,Main language is not English (English or Welsh in Wales): Cannot speak English
E36006804,Bablake,95.7599263739,1.7354719958,1.4659479358,0.9137523008,0.1249013936
E36006805,Binley and Willenhall,92.0699855246,3.0776008559,3.4174586192,1.271319781,0.1636352193
E36006806,Cheylesmore,90.0019655376,4.4290113346,3.701762432,1.5789818515,0.2882788443
E36006807,Earlsdon,92.24976676,3.7318405971,2.8521924564,0.9729441557,0.1932560309
E36006808,Foleshill,62.6573728859,10.7905116983,14.5404441563,9.817906738,2.1937645215
E36006809,Henley,89.4003912993,4.499942456,4.160432731,1.6860398205,0.2531936932
E36006810,Holbrook,85.6537493091,5.085058036,5.6684886078,3.1689492108,0.4237548363
E36006811,Longford,88.4359164152,3.6497181575,4.9991459318,2.4255537209,0.4896657746
E36006812,Lower Stoke,85.8872108151,5.379263533,5.7186492449,2.6641778381,0.3506985689
E36006813,Radford,81.713390409,6.1104582844,7.6996250909,3.8721951765,0.6043310391
E36006814,Sherbourne,91.5390362346,3.2063254887,3.6919437181,1.3323371934,0.2303573652
E36006815,St Michael's,68.2470395021,11.4703085833,13.9986169937,5.37643703,0.9075978909
E36006816,Upper Stoke,81.7812607253,6.0977004919,7.5563436678,3.9469168287,0.6177782862
E36006817,Wainbody,86.1684024233,7.1608467769,5.2344973113,1.2048192771,0.2314342114
E36006818,Westwood,92.5333633651,3.5306042007,3.0576045949,0.7207613041,0.1576665353
E36006819,Whoberley,90.9552977975,4.1900169425,3.7338720188,0.970937052,0.1498761892
E36006820,Woodlands,96.9255969256,1.4049014049,1.1529011529,0.4725004725,0.0441000441
E36006821,Wyken,91.2512400794,3.8380456349,3.162202381,1.5438988095,0.2046130952
