code,name,1 person in household,2 people in household,3 people in household,4 people in household,5 people in household,6 people in household,7 people in household,8 or more people in household
E36006804,Bablake,29.1354246366,34.1392501913,15.9755164499,14.1392501913,4.7589900536,1.4231063504,0.26013772,0.168324407
E36006805,Binley and Willenhall,35.2275787773,32.2650148128,15.418798815,10.8672232696,4.1745219499,1.5620791813,0.3097225963,0.1750605979
E36006806,Cheylesmore,35.886702944,33.3333333333,14.2737547091,11.2599413981,3.7951723176,0.9906515976,0.2930096275,0.1674340728
E36006807,Earlsdon,29.4942492516,33.4331180085,15.0622341264,14.7943910509,5.0259965338,1.6700803529,0.3308649756,0.1890657003
E36006808,Foleshill,28.2853025937,23.818443804,16.3112391931,13.0115273775,9.3227665706,6.023054755,1.6426512968,1.5850144092
E36006809,Henley,30.7662030963,32.3668328523,16.3998950407,12.2015219103,5.8121228024,1.9023878247,0.419837313,0.1311991603
E36006810,Holbrook,25.7043845111,31.4599969866,17.5531113455,15.1725177038,7.0061774898,2.2901913515,0.5424137411,0.2712068706
E36006811,Longford,33.6351062492,30.8311329058,16.0191122847,11.9200301773,5.0169747265,2.0369671822,0.4023638878,0.1383125864
E36006812,Lower Stoke,27.3277403383,31.5224865906,17.0815568698,14.6747352496,5.9964241507,2.3655618209,0.5226241232,0.5088708568
E36006813,Radford,32.2737759549,29.5052550628,16.995642143,12.8556780313,5.3832350679,2.2430146116,0.4870546014,0.256344527
E36006814,Sherbourne,35.390100096,30.5909776498,15.1652269299,12.1075003428,4.4563279857,1.6454134101,0.4387769094,0.2056766763
E36006815,St Michael's,37.0614796804,26.8264443673,15.8040986454,10.9528771564,5.1638300336,2.3850874146,0.9146694454,0.8915132569
E36006816,Upper Stoke,30.9842363227,29.6463107696,17.5652404292,13.4454894688,5.3781957875,2.2254603259,0.4768843555,0.2781825407
E36006817,Wainbody,23.6146632566,35.6138107417,15.9846547315,15.5797101449,6.3725490196,1.9181585678,0.6180733163,0.2983802217
E36006818,Westwood,29.5540540541,31.5675675676,17.6351351351,13.2837837838,5.5675675676,1.7972972973,0.3513513514,0.2432432432
E36006819,Whoberley,32.860184528,35.088715401,14.3931866572,12.1078779276,4.2299503194,1.0220014194,0.1561391057,0.1419446416
E36006820,Woodlands,31.6742688489,38.0735175745,14.3547088811,11.2020391736,3.5685537966,0.8585994097,0.1609873893,0.1073249262
E36006821,Wyken,27.8217531516,31.4130753445,18.1764878335,15.6112576957,5.1744356494,1.3925535034,0.2931691586,0.1172676634
