code,name,In employment,Not in employment: Total,Last worked in 2011,Last worked in 2010,Last worked in 2009 ,Last worked in 2008,Last worked in 2007,Last worked in 2006,Last worked in 2001 - 2005,Last worked before 2001,Never worked
E36006804,Bablake,66.6666666667,33.3333333333,1.0680308742,3.5810446957,2.548914019,2.0104110573,1.83091007,1.5616585891,6.1299587148,8.5173218453,6.085083468
E36006805,Binley and Willenhall,57.5583846219,42.4416153781,1.1550459489,5.041733412,3.0435882303,2.2257819745,1.8548183121,1.8716802968,6.7785178315,10.6820672793,9.7883820926
E36006806,Cheylesmore,64.106772633,35.893227367,1.3648928818,4.2415342087,2.7729785764,2.0387007602,1.6413268832,1.4080856945,5.7532826538,8.3534899793,8.3189357291
E36006807,Earlsdon,66.2666433076,33.7333566924,1.2876664331,5.4222144359,2.5052557814,1.8395234758,1.6730903994,1.1124737211,4.9229152067,6.9025928521,8.0676243868
E36006808,Foleshill,47.0293700022,52.9706299978,1.3975039235,5.4853897317,3.0939391675,2.3391375831,1.5918092818,1.3750840744,4.9398400717,7.7796876168,24.9682385472
E36006809,Henley,59.3892649142,40.6107350858,1.1254525421,4.6277349284,2.5342357941,2.3689595467,1.4638753345,1.6291515819,6.1781835353,10.0582402015,10.6249016213
E36006810,Holbrook,62.6317974263,37.3682025737,1.195516812,4.6492320465,2.4740556247,1.9676214197,1.7434620174,1.3117476131,5.603985056,8.3271066833,10.095475301
E36006811,Longford,59.7902361729,40.2097638271,1.229910209,4.4140949219,3.1841847129,2.384365804,1.6901833547,1.471364974,5.9835508941,9.1149173772,10.7371915793
E36006812,Lower Stoke,64.8606115108,35.1393884892,1.4388489209,4.5188848921,2.4655275779,1.8884892086,1.4238609113,1.1990407674,4.6537769784,7.0743405276,10.476618705
E36006813,Radford,60.7475949181,39.2524050819,1.4834398179,4.8909451421,2.8053168833,1.9093779834,1.3953146802,1.3218770654,4.4796944995,8.0120437688,12.9543952412
E36006814,Sherbourne,65.4317036089,34.5682963911,1.4803552853,5.7933904137,2.8086740818,2.2725454109,1.6483956149,1.4803552853,4.7531407538,6.0014403457,8.3299991998
E36006815,St Michael's,39.7124568177,60.2875431823,3.2666124771,13.6862426336,4.2267831742,2.3064417801,1.2649867913,0.8941272099,2.7230237757,4.3283885389,27.5909368015
E36006816,Upper Stoke,60.8216951156,39.1783048844,1.5369836695,5.1873198847,2.6527746989,2.2389714032,1.5739303924,1.3448607109,4.9656395478,8.0248281977,11.6529963792
E36006817,Wainbody,50.8155691723,49.1844308277,2.2093725727,11.5215327522,2.7962371623,2.0712867869,1.3894882196,1.1392077328,4.3065504445,6.0585138517,17.6922413049
E36006818,Westwood,59.0283874744,40.9716125256,1.5291191103,6.592039801,3.2411472052,2.1510096576,1.6169154229,1.4120573603,5.223880597,7.0017559263,12.2036874451
E36006819,Whoberley,63.0004902762,36.9995097238,1.5607125347,6.8720379147,3.2930217356,2.2225853898,1.5852263442,1.1358065043,4.5922536362,5.9241706161,9.8136950482
E36006820,Woodlands,64.0502999918,35.9497000082,1.1999671242,4.0190679707,2.9834799047,2.3506205309,1.7588559218,1.6848853456,7.1998027451,9.2627599244,5.4902605408
E36006821,Wyken,69.1099045739,30.8900954261,1.0776571241,3.8746298124,2.4350115169,1.7604475156,1.5054294176,1.4807502468,5.0921355709,7.3379401119,6.3260941099
