code,name,Work mainly at or from home,"Underground, metro, light rail, tram",Train,"Bus, minibus or coach",Taxi,"Motorcycle, scooter or moped",Driving a car or van,Passenger in a car or van,Bicycle,On foot,Other method of travel to work,Not in employment
E36006804,Bablake,2.8540656974,0.0718003949,0.915455035,5.0888529887,0.2154011847,0.5923532579,46.5087057979,4.1285227069,1.3462574044,4.6311254712,0.3141267277,33.3333333333
E36006805,Binley and Willenhall,1.3320967878,0.0337239693,0.6660483939,7.8070988955,0.1770508389,0.463704578,34.5249135823,4.9658544811,1.2224938875,6.070314476,0.2950847315,42.4416153781
E36006806,Cheylesmore,2.099170698,0.0431928127,1.9868693849,6.0556323428,0.3455425017,0.4146510021,39.4868693849,4.0946786455,1.6413268832,7.6883206634,0.2505183138,35.893227367
E36006807,Earlsdon,3.845480028,0.0700770848,2.7592852137,3.9505956552,0.2102312544,0.2890679748,41.9498948844,3.3899789769,2.8206026629,6.6748423266,0.306587246,33.7333566924
E36006808,Foleshill,1.2330916972,0.0747328301,0.6950153202,8.2803975787,1.120992452,0.1345190942,21.448322248,5.3807637695,0.7772214334,6.9352066363,0.9491069427,52.9706299978
E36006809,Henley,1.7550763419,0.0393514875,0.6138832048,7.0832677475,0.2282386274,0.3856445774,34.1807020305,5.1393042657,1.424523847,8.1536282071,0.3856445774,40.6107350858
E36006810,Holbrook,1.4445828144,0.0498132005,0.7056870071,6.9323370693,0.4317144043,0.5479452055,39.5682855957,5.9443752594,1.303445413,5.3798256538,0.3237858032,37.3682025737
E36006811,Longford,1.3581830529,0.0301818456,0.6413642194,8.3679166981,0.3470912246,0.4225458387,35.9163962876,5.0630046027,1.5392741266,5.7270052064,0.3772730702,40.2097638271
E36006812,Lower Stoke,1.8959832134,0.037470024,1.2215227818,8.5431654676,0.3372302158,0.4871103118,37.3875899281,6.3699040767,1.7985611511,6.4673261391,0.3147482014,35.1393884892
E36006813,Radford,1.6376588088,0.0367188074,1.0354703679,7.5861056033,0.5434383491,0.293750459,33.5022398472,5.4196959683,1.6523463318,8.5187633106,0.5214070647,39.2524050819
E36006814,Sherbourne,2.2405377291,0.0160038409,1.6163879331,6.1774825958,0.4801152277,0.4401056254,40.0976234296,4.393054333,1.8004321037,7.9138993358,0.2560614547,34.5682963911
E36006815,St Michael's,1.1633814265,0.0711237553,1.7374517375,6.8939239992,0.3759398496,0.127006706,14.4635236741,3.8406827881,1.0719365983,9.5610648242,0.4064214591,60.2875431823
E36006816,Upper Stoke,1.3374713663,0.0812827902,0.9606147935,8.1947831227,0.4876967413,0.3103524717,34.6781940442,6.5026232173,1.6626025272,6.1701027119,0.4359713293,39.1783048844
E36006817,Wainbody,2.580478122,0.1467161474,1.6742901528,2.4769137827,0.155346509,0.1726072322,34.0640372832,2.9170622249,1.5016829205,4.8416328644,0.2848019332,49.1844308277
E36006818,Westwood,2.2314896108,0.0877963126,1.5437518291,5.1799824407,0.1463271876,0.3804506877,36.4281533509,3.797190518,1.8144571261,7.1992976295,0.2194907814,40.9716125256
E36006819,Whoberley,1.9774472953,0.0571988887,1.724137931,6.5206733126,0.2124530152,0.3677071417,37.2609903579,4.0611210982,2.5821212616,7.9669880699,0.2696519039,36.9995097238
E36006820,Woodlands,2.3259636722,0.0739705761,1.4465357114,5.3998520588,0.1890359168,0.4684803156,44.3741267363,4.0683816882,1.3396893236,4.1094764527,0.2547875401,35.9497000082
E36006821,Wyken,1.6617308325,0.0411319513,0.9871668312,6.2273774268,0.2303389273,0.5593945377,44.2497532083,5.6844356696,1.4642974663,7.5847318197,0.4195459033,30.8900954261
