code,name,Lone parent in part-time employment: Total,Lone parent in full-time employment: Total,Lone parent not in employment: Total,Male lone parent: Total,Male lone parent: In part-time employment,Male lone parent: In full-time employment,Male lone parent: Not in employment,Female lone parent: Total,Female lone parent: In part-time employment,Female lone parent: In full-time employment,Female lone parent: Not in employment
E36006804,Bablake,38,33.2,28.8,12,1.2,6.8,3.9,88,36.7,26.3,24.9
E36006805,Binley and Willenhall,29.8,20,50.2,10.6,0.9,4.8,4.9,89.4,28.9,15.2,45.3
E36006806,Cheylesmore,32.3,31.7,35.9,13,1.1,7.3,4.6,87,31.2,24.5,31.4
E36006807,Earlsdon,34.5,45,20.5,18.5,1.6,13.3,3.6,81.5,32.9,31.7,16.9
E36006808,Foleshill,23.3,11.4,65.3,6.6,1.3,1.5,3.8,93.4,22,9.9,61.5
E36006809,Henley,29.2,20.4,50.4,7.2,0.5,3.5,3.3,92.8,28.7,17,47.2
E36006810,Holbrook,32.9,23.9,43.2,9,1.3,3,4.6,91,31.5,20.8,38.6
E36006811,Longford,32.5,22.4,45.1,7.9,1.1,3.5,3.2,92.1,31.3,18.9,41.8
E36006812,Lower Stoke,34.5,25.6,39.9,9.3,1.6,3.9,3.8,90.7,32.9,21.7,36.1
E36006813,Radford,29.9,21.6,48.5,7,1.3,3.4,2.4,93,28.6,18.2,46.1
E36006814,Sherbourne,33,34.2,32.8,11.7,1.6,7.4,2.7,88.3,31.4,26.8,30.1
E36006815,St Michael's,27.4,14.4,58.2,7.3,0.8,2.5,3.9,92.7,26.6,11.8,54.3
E36006816,Upper Stoke,28.3,25.1,46.6,9.8,0.5,4.5,4.8,90.2,27.8,20.6,41.8
E36006817,Wainbody,35,42.9,22.2,15.8,3.4,8.9,3.4,84.2,31.5,34,18.7
E36006818,Westwood,28.6,25.4,46,11.2,1.8,5.8,3.6,88.8,26.8,19.6,42.4
E36006819,Whoberley,31,36.1,32.9,8.9,1.5,5,2.4,91.1,29.4,31.2,30.5
E36006820,Woodlands,34.9,25.4,39.7,11.8,0.9,6.3,4.6,88.2,34.1,19.1,35.1
E36006821,Wyken,37.6,32.8,29.5,7.5,0.2,5.5,1.8,92.5,37.4,27.3,27.7
