code,name,White: English/Welsh/Scottish/Northern Irish/British,White: Irish,White: Gypsy or Irish Traveller,White: Other White,Mixed/multiple ethnic group: White and Black Caribbean,Mixed/multiple ethnic group: White and Black African,Mixed/multiple ethnic group: White and Asian,Mixed/multiple ethnic group: Other Mixed,Asian/Asian British: Indian,Asian/Asian British: Pakistani,Asian/Asian British: Bangladeshi,Asian/Asian British: Chinese,Asian/Asian British: Other Asian,Black/African/Caribbean/Black British: African,Black/African/Caribbean/Black British: Caribbean,Black/African/Caribbean/Black British: Other Black,Other ethnic group: Arab,Other ethnic group: Any other ethnic group
E36006804,Bablake,84.8,3.2,0,2.1,0.7,0.2,0.4,0.2,4.1,0.7,0.1,0.2,1.1,0.5,0.8,0.1,0.2,0.6
E36006805,Binley and Willenhall,77.9,2.2,0,4.1,1.2,0.3,0.5,0.2,3.2,0.3,0,0,0.8,7.1,0.9,0.6,0.1,0.3
E36006806,Cheylesmore,72.5,2.3,0.1,3.8,1,0.2,0.6,0.4,9.5,1.2,1.2,1,1.7,2.1,0.7,0.4,0.5,0.8
E36006807,Earlsdon,75.9,2.3,0,3.6,0.4,0.3,0.7,0.3,9.2,1,0.3,1.2,1.8,1,0.3,0.1,0.2,1.1
E36006808,Foleshill,23.4,0.9,0.1,6.3,1.2,0.4,1.3,0.6,18.7,21.5,3.5,0.6,5.9,7.7,1.7,1.6,1.7,3
E36006809,Henley,72.1,2.3,0.1,3.7,1.8,0.5,0.5,0.4,4.7,0.8,0.1,0.4,2.2,7.2,1.5,0.8,0.3,0.5
E36006810,Holbrook,64.4,2.3,0.1,4.7,1.7,0.3,0.8,0.4,13,2.2,0.2,0.3,3.8,2.3,1.4,0.4,0.2,1.8
E36006811,Longford,68.3,2,0.1,4.2,2.3,0.2,0.6,0.5,10.1,2.1,0.6,0.2,2.6,2.9,1.4,0.5,0.2,1
E36006812,Lower Stoke,65.7,2.8,0,6.6,1,0.4,0.7,0.4,8.6,1.1,0.5,0.3,2,6.8,1.2,0.7,0.4,0.7
E36006813,Radford,58.8,2.8,0,7.1,1.5,0.3,1,0.5,10.7,5.3,0.6,0.8,3.5,3.4,1.5,0.4,0.7,1.1
E36006814,Sherbourne,74.8,4.5,0,4.3,1,0.3,0.8,0.3,4.6,2,0.2,0.7,1.5,3,0.7,0.4,0.3,0.7
E36006815,St Michael's,39.6,1.7,0.2,9.4,1.4,0.6,1.1,0.6,11.6,3.6,4.7,4.2,3,11.2,1.7,1.2,2.9,1.4
E36006816,Upper Stoke,59.4,2.1,0,7.3,1.2,0.3,1,0.4,12.9,2.6,1,0.5,2.9,4.2,1.5,0.4,0.7,1.6
E36006817,Wainbody,62.9,1.2,0,4.2,0.4,0.1,1,0.5,14.9,2.1,0.9,5,3.6,0.8,0.3,0.1,0.5,1.5
E36006818,Westwood,79.9,1.8,0,3.7,0.9,0.2,0.6,0.3,4.3,0.6,0.1,2.1,1.6,2.1,0.6,0.2,0.3,0.6
E36006819,Whoberley,77.8,3.5,0,4.5,0.9,0.2,0.7,0.2,2.9,2,0.2,2.3,1.4,1.8,0.7,0.2,0.4,0.3
E36006820,Woodlands,89.5,2,0,1.9,0.6,0.2,0.4,0.2,1.4,0.2,0.1,0.4,0.4,1.6,0.4,0.1,0.1,0.3
E36006821,Wyken,74.1,1.9,0,2.7,0.9,0.2,0.7,0.3,10.1,1,0.4,0.5,2.5,2.2,0.8,0.2,0.4,0.9
