code,name,Christian,Buddhist,Hindu,Jewish,Muslim,Sikh,Other religion,No religion,Religion not stated
E36006804,Bablake,64.2,0.2,1.4,0.1,1.2,3.5,0.3,22.2,6.8
E36006805,Binley and Willenhall,62.7,0.1,1.3,0,2.9,1.8,0.3,24.6,6.2
E36006806,Cheylesmore,56.2,0.4,4.7,0.1,4.1,5,0.6,22.5,6.5
E36006807,Earlsdon,54.4,0.5,3.3,0.1,2,7,0.5,25.1,7.1
E36006808,Foleshill,26.8,0.3,6.3,0,38.6,8.7,0.8,11.6,6.8
E36006809,Henley,63.3,0.2,1.8,0,3.9,1.9,0.5,22,6.4
E36006810,Holbrook,54,0.2,4.7,0,3.7,10.6,0.4,20.9,5.5
E36006811,Longford,53.1,0.2,2.9,0,4.4,8.2,0.5,24.1,6.6
E36006812,Lower Stoke,58.5,0.3,3.7,0.1,4.7,4.7,0.5,21.4,6.1
E36006813,Radford,48.9,0.3,5.8,0,8.9,5.6,0.6,23.2,6.7
E36006814,Sherbourne,58.9,0.3,1.9,0.1,4.3,2.7,0.5,24.9,6.4
E36006815,St Michael's,39.5,0.7,5.5,0.1,21.5,2.4,0.6,23.4,6.3
E36006816,Upper Stoke,51.5,0.2,5.1,0,7.3,8.3,0.8,21,5.7
E36006817,Wainbody,46.7,0.7,5.8,0.2,4.9,10.3,0.6,24.5,6.4
E36006818,Westwood,56.4,0.4,1.9,0.1,2.3,2.1,0.4,29.4,7
E36006819,Whoberley,56.6,0.5,1.4,0.1,3.5,1,0.4,29.7,6.8
E36006820,Woodlands,65.3,0.3,0.5,0.1,1,1,0.4,24.8,6.7
E36006821,Wyken,59.7,0.2,3.7,0,3,6.2,0.4,21.2,5.6
