code,name,Medical and care establishment: NHS: General hospital,Medical and care establishment: NHS: Mental health hospital/unit (including secure units),Medical and care establishment: NHS: Other hospital,Medical and care establishment: Local Authority: Children's home (including secure units),Medical and care establishment: Local Authority: Care home or other home,Medical and care establishment: Registered Social Landlord/Housing Association,Medical and care establishment: Other: Care home with nursing,Medical and care establishment: Other: Care home without nursing,Medical and care establishment: Other: Children's home (including secure units),Medical and care establishment: Other,Other establishments,Establishment not stated
E36006804,Bablake,0,0,0,3.5,0,0,1.8,86.8,0,4.4,0,3.5
E36006805,Binley and Willenhall,0,0,0,0,30.8,0,0,61.5,0,0,1.9,5.8
E36006806,Cheylesmore,0,0,0,0,0,0,44.3,46.6,2.3,0,6.9,0
E36006807,Earlsdon,0,0,0,0,0,0,0,78,4.4,0,14.5,3.1
E36006808,Foleshill,0,0,0,0,0,8.9,0,19.1,0,7.6,59.2,5.1
E36006809,Henley,0,0,0,0,15,0,0,11.8,3.3,16.3,41.2,12.4
E36006810,Holbrook,0,0,0,0,0,0,0,100,0,0,0,0
E36006811,Longford,0,0,7,0,0,15.8,22.8,47.4,0,0,7,0
E36006812,Lower Stoke,0,0,0,0,0,0,29.4,63.8,2.3,0,0,4.5
E36006813,Radford,0,0,0,0,0,0,32.6,49.1,0.6,0,16,1.7
E36006814,Sherbourne,0,0,0,0,0,0,0,36.8,1.1,3.8,58.4,0
E36006815,St Michael's,0,0,0,0,0,0,0,2.5,0,0.6,92.2,4.7
E36006816,Upper Stoke,0,0,0,0,0,10,0,82,0,0,4,4
E36006817,Wainbody,0,0,0,0,0,0,0.8,0,0,0,99.2,0
E36006818,Westwood,0,0,0,0,0,0,0,12,0,0,88,0
E36006819,Whoberley,0,0,0,0,37.1,0,45.7,7.6,0,0,0,9.5
E36006820,Woodlands,0,0,0,0,0,0,0,100,0,0,0,0
E36006821,Wyken,0,0,0,0,0,0,0,77.9,0,9.7,12.4,0
