code,name,"1. Higher managerial, administrative and professional occupations",1.1 Large employers and higher managerial and administrative occupations,1.2 Higher professional occupations,"2. Lower managerial, administrative and professional occupations",3. Intermediate occupations,4. Small employers and own account workers,5. Lower supervisory and technical occupations,6. Semi-routine occupations,7. Routine occupations,8. Never worked and long-term unemployed,L14.1 Never worked,L14.2 Long-term unemployed,Not classified,L15 Full-time students
E36006804,Bablake,9.1,2.4,6.6,21.5,15.9,9.1,8.4,14,10.8,3.5,2.3,1.1,7.7,7.7
E36006805,Binley and Willenhall,5.3,1.1,4.2,13.7,13,5.6,8.9,19.5,17.3,9.2,6.1,3.1,7.7,7.7
E36006806,Cheylesmore,10.8,1.9,8.9,20.3,14.1,7.1,7.3,14.3,11.4,5.8,4.1,1.6,8.9,8.9
E36006807,Earlsdon,17.2,3,14.2,27,12.8,7.7,4.6,8.1,5.8,2.8,2,0.9,14,14
E36006808,Foleshill,3,0.4,2.6,8.1,8.2,7,5.6,15.9,17.6,20.7,17,3.7,13.8,13.8
E36006809,Henley,6.3,1.3,5,16,12.2,5.9,8,17.8,16.6,8.9,6.3,2.5,8.3,8.3
E36006810,Holbrook,5.4,1.2,4.1,14.3,13.2,6.4,8.1,19,17.6,7.6,5.5,2.1,8.5,8.5
E36006811,Longford,4.5,1,3.4,13.4,12.3,6.5,8.1,19.6,18.4,9.5,6.6,2.8,7.7,7.7
E36006812,Lower Stoke,7.1,1.3,5.8,17.1,12.7,6.2,7.1,15,15.3,6.8,4.7,2.1,12.7,12.7
E36006813,Radford,5.8,1,4.7,13.9,11.8,6.1,7.3,17.9,16,9.3,6.6,2.7,11.9,11.9
E36006814,Sherbourne,8.2,1.6,6.6,19.1,13.8,7.2,7.4,13.7,11.6,5.1,3.2,1.9,14,14
E36006815,St Michael's,3.4,0.4,3,6.9,5.2,3.5,3.8,8.9,10.2,10.1,8,2.1,48.1,48.1
E36006816,Upper Stoke,4.6,0.8,3.7,13.7,12.2,6.4,7.4,17.1,17.5,8.1,5.5,2.6,13.1,13.1
E36006817,Wainbody,11.9,2,9.9,17.9,11.1,6.8,3.9,7.2,4.8,2.5,1.9,0.6,33.9,33.9
E36006818,Westwood,9,1.8,7.2,16.2,11.5,6.5,7.3,14,12.2,5.9,3.8,2.1,17.5,17.5
E36006819,Whoberley,9.4,1.8,7.6,20.1,13,6,6.9,12.5,9.4,3.9,2.4,1.5,18.8,18.8
E36006820,Woodlands,10.2,2.4,7.9,19.8,16.9,6.8,8.7,15.4,11.2,4.6,2.7,1.9,6.5,6.5
E36006821,Wyken,8.9,1.8,7.1,19.9,15.5,6.6,8.1,15.7,13.2,4.6,2.7,1.9,7.5,7.5
