code,name,Definitely agree ,Tend to agree,Tend to disagree,Definitely disagree,Too few people live in the local neighbourhood to judge,Don't know
E36006804,Bablake ,48.7,38.96,5.19,0.65,5.19,1.3
E36006805,Binley and Willenhall ,32.31,53.08,8.46,2.31,0.77,3.08
E36006806,Cheylesmore,47.33,46,2,0,0.67,4
E36006807,Earlsdon,25.56,64.44,2.22,0,1.11,6.67
E36006808,Foleshill,35.53,55.26,6.58,2.63,0,0
E36006809,Henley,33.77,57.79,2.6,0.65,0.65,4.55
E36006810,Holbrook,57.59,34.18,5.7,0.63,0,1.9
E36006811,Longford,48.77,38.89,3.7,3.09,3.09,2.47
E36006812,Lower Stoke,16.04,67.92,10.38,2.83,0.94,1.89
E36006813,Radford,41.55,48.59,4.23,1.41,0,4.23
E36006814,Sherbourne,49.07,37.27,1.86,0,7.45,4.35
E36006815,St Michael's,50,40.52,5.17,1.72,0,2.59
E36006816,Upper Stoke,45.66,45.66,3.47,1.73,0,3.47
E36006817,Wainbody,48.55,39.86,3.62,1.45,0.72,5.8
E36006818,Westwood,48.02,37.29,3.39,1.13,3.95,6.21
E36006819,Whoberley,41.78,47.26,5.48,0,2.74,2.74
E36006820,Woodlands,37.86,45.71,4.29,1.43,8.57,2.14
E36006821,Wyken,37.1,54.84,2.42,0.81,1.61,3.23
